Produto,Categoria,Data,Quantidade,PU,FT,Subcategoria,Custo
GRANDE LATTE,CAFE CLASSICOS,21/11/2021,1,"13,00","13,00",BEBIDAS QUENTES,"3,11"
BODOJITO,DRINKS ALCOOLICOS,11/02/2023,1,"24,00","24,00",DRINKS ALCOOLICOS,"2,63"
BODOJITO,DRINKS ALCOOLICOS,14/10/2022,2,"24,00","48,00",DRINKS ALCOOLICOS,"2,63"
AGUA TONICA,BEBIDAS,12/01/2021,1,"7,00","7,00",BEBIDAS,"2,16"
ESPRESSO,CAFE CLASSICOS,13/04/2023,2,"5,00","10,00",CAFE,"0,81"
FRAPPE LEITINHO E NUTELLA,CAFE AUTORAIS,19/07/2022,1,"21,00","21,00",FRAPPE,"6,45"
FRAPPE OREO PANDA,CAFE AUTORAIS,29/10/2022,3,"21,00","63,00",FRAPPE,"5,44"
SPACE CHAI,DRINKS NAO ALCOOLICOS,13/08/2022,5,"15,00","75,00",CHA,"2,78"
ICED TEA,BEBIDAS,01/11/2022,3,"8,00","24,00",CHA,"0,92"
CHA MATE COM LIMAO GELADO,BEBIDAS,02/03/2023,2,"9,00","18,00",CHA,"0,18"
COCA COLA 350ML,BEBIDAS REFRIGERANTES,12/06/2022,14,"7,00","98,00",REFRIGERANTES,"3,19"
REFRIGERANTE DE MATCHA,DRINKS ALCOOLICOS,20/04/2022,4,"9,00","36,00",DRINKS NAO ALCOOLICOS,"0,79"
COCA COLA 350ML,BEBIDAS REFRIGERANTES,09/12/2021,13,"7,00","91,00",REFRIGERANTES,"3,19"
BUTTERBEER,DRINKS NAO ALCOOLICOS,16/06/2021,2,"15,00","30,00",DRINKS NAO ALCOOLICOS,"1,62"
ESPRESSO DUPLO,CAFE CLASSICOS,01/02/2023,1,"9,00","9,00",CAFE,"1,62"
ICED TEA,BEBIDAS,29/07/2022,3,"8,00","24,00",CHA,"0,92"
CARAMELO MACCHIATO,CAFE AUTORAIS,03/10/2021,1,"9,00","9,00",BEBIDAS QUENTES,"2,06"
CHOCOLATE QUENTE EUROPEU,CAFE CLASSICOS,14/08/2021,1,"9,00","9,00",BEBIDAS QUENTES,"1,76"
BATIDO MACA CANELA,CAFE AUTORAIS,28/08/2021,1,"9,00","9,00",FRAPPE,"6,61"
AGUA COM GAS,BEBIDAS,21/10/2022,5,"6,00","30,00",BEBIDAS,"0,97"
GIN TONICA,DRINKS ALCOOLICOS,08/09/2022,1,"28,00","28,00",DRINKS ALCOOLICOS,"7,59"
COCA COLA 350ML,BEBIDAS REFRIGERANTES,28/11/2022,7,"8,00","56,00",REFRIGERANTES,"3,19"
VANILLA COLD BREW,CAFE AUTORAIS,07/09/2022,1,"12,00","12,00",CAFE FRIO,"2,77"
PINK LEMONADE,DRINKS NAO ALCOOLICOS,16/04/2023,7,"12,00","84,00",DRINKS NAO ALCOOLICOS,"1,02"
SPACE CHAI,DRINKS NAO ALCOOLICOS,11/09/2022,1,"15,00","15,00",CHA,"2,78"
MELON FRESH,DRINKS NAO ALCOOLICOS,15/09/2021,1,"15,00","15,00",DRINKS NAO ALCOOLICOS,"1,62"
ESPRESSO TONICA,CAFE AUTORAIS,24/07/2021,2,"12,00","24,00",CAFE FRIO,"4,41"
AGUA MINERAL,BEBIDAS,19/01/2021,4,"6,00","24,00",BEBIDAS,"0,85"
BUTTERBEER,DRINKS NAO ALCOOLICOS,15/05/2022,10,"15,00","150,00",DRINKS NAO ALCOOLICOS,"1,62"
APPLE MARTINI,DRINKS ALCOOLICOS,07/04/2023,2,"30,00","60,00",DRINKS ALCOOLICOS,"2,91"
CARAMELO MACCHIATO,CAFE AUTORAIS,19/11/2022,3,"9,00","27,00",BEBIDAS QUENTES,"2,06"
FRAPPE CARAMELO,CAFE CLASSICOS,20/03/2022,1,"15,00","15,00",FRAPPE,"2,96"
FRAPPE MATCHA,CAFE CLASSICOS,17/09/2022,1,"17,00","17,00",FRAPPE,"2,78"
COCA COLA LATA DIET 350ML,BEBIDAS,26/02/2022,5,"7,00","35,00",REFRIGERANTES,"3,19"
CAPPUCCINO GELADO,CAFE CLASSICOS,05/03/2021,3,"13,00","39,00",CAFE FRIO,"2,49"
ESSENCIA DE AVELA,BEBIDAS,24/07/2022,1,"1,00","1,00",EXTRA,"0,41"
BEIJO DE LINGUA,DRINKS ALCOOLICOS,29/03/2023,1,"23,00","23,00",DRINKS ALCOOLICOS,"6,61"
CERVEJA MANIACS ALOHA,BEBIDAS CERVEJAS,11/06/2022,4,"12,00","48,00",CERVEJAS,"5,36"
APPLE MARTINI,DRINKS ALCOOLICOS,02/09/2021,2,"20,00","40,00",DRINKS ALCOOLICOS,"2,91"
SODA ITALIANA,DRINKS NAO ALCOOLICOS,01/03/2022,16,"9,00","144,00",DRINKS NAO ALCOOLICOS,"1,62"
ESPRESSO EXTRA,CAFE CLASSICOS,02/12/2022,1,"0,0","0,0",EXTRA,"0,81"
LUMPY SUNRISE,DRINKS NAO ALCOOLICOS,21/07/2022,4,"15,00","60,00",DRINKS NAO ALCOOLICOS,"3,34"
FRAPPE LEITINHO E NUTELLA,CAFE AUTORAIS,28/02/2022,3,"21,00","63,00",FRAPPE,"6,45"
AGUA COM GAS,BEBIDAS,03/12/2021,4,"6,00","24,00",BEBIDAS,"0,97"
GUARANA ANTARCTICA 350ML,BEBIDAS REFRIGERANTES,04/10/2022,3,"7,00","21,00",REFRIGERANTES,"2,99"
FADA INSENSATA,DRINKS ALCOOLICOS,25/02/2022,1,"28,00","28,00",DRINKS ALCOOLICOS,"7,07"
FADA INSENSATA,DRINKS ALCOOLICOS,06/05/2022,3,"32,00","96,00",DRINKS ALCOOLICOS,"7,07"
JAIPUR,CAFE AUTORAIS,25/09/2021,2,"12,00","24,00",CHA,"0,77"
LATTE MEDIO,CAFE CLASSICOS,19/02/2023,2,"9,00","18,00",BEBIDAS QUENTES,"1,92"
ESPRESSO,CAFE CLASSICOS,26/02/2022,6,"5,00","30,00",CAFE,"0,81"
GREENY SMITH,CAFE AUTORAIS,21/12/2021,3,"12,00","36,00",DRINKS NAO ALCOOLICOS,"2,25"
SODA ITALIANA,DRINKS NAO ALCOOLICOS,02/03/2023,5,"12,00","60,00",DRINKS NAO ALCOOLICOS,"1,62"
CHA MATE COM PESSEGO GELADO,BEBIDAS,10/05/2022,1,"8,00","8,00",CHA,"1,88"
VIRGIN BODOJITO,DRINKS NAO ALCOOLICOS,01/08/2021,1,"15,00","15,00",DRINKS NAO ALCOOLICOS,"0,53"
ORANGE COFFEE,CAFE AUTORAIS,05/08/2022,2,"14,00","28,00",CAFE FRIO,"3,32"
FRAPPE OREO PANDA,CAFE AUTORAIS,29/09/2021,1,"17,00","17,00",FRAPPE,"5,44"
FRAPPE CARAMELO,CAFE CLASSICOS,25/02/2021,2,"15,00","30,00",FRAPPE,"2,96"
ESPRESSO,CAFE CLASSICOS,21/07/2022,1,"5,00","5,00",CAFE,"0,81"
BODOJITO,DRINKS ALCOOLICOS,17/06/2022,2,"20,00","40,00",DRINKS ALCOOLICOS,"2,63"
CERVEJA BROOKLYN EAST IPA,BEBIDAS CERVEJAS,03/12/2021,4,"18,00","72,00",CERVEJAS,"8,68"
COCA COLA LATA DIET 350ML,BEBIDAS,29/09/2022,5,"7,00","35,00",REFRIGERANTES,"3,19"
CHA MATE COM PESSEGO GELADO,BEBIDAS,21/05/2022,7,"8,00","56,00",CHA,"1,88"
CALDA DE CHOCOLATE,BEBIDAS,15/01/2023,1,"2,00","2,00",EXTRA,"0,86"
FRAPPE OREO PANDA,CAFE AUTORAIS,20/04/2022,2,"17,00","34,00",FRAPPE,"5,44"
CHA MATE COM PESSEGO GELADO,BEBIDAS,20/04/2023,2,"9,00","18,00",CHA,"1,88"
CERVEJA MANIACS ALOHA,BEBIDAS CERVEJAS,05/04/2022,3,"12,00","36,00",CERVEJAS,"5,36"
SUCO DE LARANJA,BEBIDAS,29/03/2022,3,"9,00","27,00",BEBIDAS,"2,61"
LATTE MEDIO,CAFE CLASSICOS,07/08/2021,1,"9,00","9,00",BEBIDAS QUENTES,"1,92"
VALHALLA MEAD,DRINKS ALCOOLICOS,03/06/2021,1,"30,00","30,00",DRINKS ALCOOLICOS,"10,02"
SUCO DE LIMAO,BEBIDAS,21/07/2022,1,"9,00","9,00",BEBIDAS,"0,15"
ESPRESSO,CAFE CLASSICOS,19/06/2022,5,"5,00","25,00",CAFE,"0,81"
FRAPPE MORANGO,CAFE CLASSICOS,01/05/2023,4,"18,00","72,00",FRAPPE,"4,41"
CAPPUCCINO GELADO,CAFE CLASSICOS,29/05/2022,1,"10,00","10,00",CAFE FRIO,"2,49"
BUTTERBEER,DRINKS NAO ALCOOLICOS,02/08/2022,3,"15,00","45,00",DRINKS NAO ALCOOLICOS,"1,62"
VIRGIN BODOJITO,DRINKS NAO ALCOOLICOS,17/03/2022,1,"15,00","15,00",DRINKS NAO ALCOOLICOS,"0,53"
LEITE VEGETAL AVEIA NUDE,CAFE CLASSICOS,23/10/2022,3,"3,00","9,00",EXTRA,"0,63"
ICED MATCHA LATTE,CAFE AUTORAIS,15/01/2023,2,"12,00","24,00",CAFE FRIO,"1,59"
COLD BREW,CAFE CLASSICOS,11/10/2022,1,"12,00","12,00",CAFE FRIO,"1,84"
GRANDE CAPPUCCINO,CAFE CLASSICOS,05/08/2021,1,"13,00","13,00",CAFE,"1,47"
HOSHI COOLER,DRINKS ALCOOLICOS,10/06/2021,2,"24,00","48,00",DRINKS ALCOOLICOS,"8,13"
AMERICANO,CAFE CLASSICOS,15/07/2022,2,"5,00","10,00",CAFE,"0,81"
MELON FRESH,DRINKS NAO ALCOOLICOS,29/09/2021,3,"15,00","45,00",DRINKS NAO ALCOOLICOS,"1,62"
SUCO DE LARANJA,BEBIDAS,21/01/2022,3,"9,00","27,00",BEBIDAS,"2,61"
LUMPY SUNRISE,DRINKS NAO ALCOOLICOS,09/09/2021,3,"15,00","45,00",DRINKS NAO ALCOOLICOS,"3,34"
FANTA LARANJA LATA 350ML,BEBIDAS REFRIGERANTES,01/05/2023,7,"8,00","56,00",REFRIGERANTES,"2,89"
CHA QUENTE GENMAICHA,BEBIDAS,07/07/2021,1,"5,00","5,00",CHA,"0,21"
COCADA FRESH,DRINKS NAO ALCOOLICOS,25/02/2023,3,"15,00","45,00",DRINKS NAO ALCOOLICOS,"2,84"
SUCO DE LIMAO,BEBIDAS,17/07/2021,4,"9,00","36,00",BEBIDAS,"0,15"
CHA MATE NATURAL GELADO,BEBIDAS,07/08/2021,4,"7,00","28,00",CHA,"0,07"
GUARANA ANTARCTICA 350ML,BEBIDAS REFRIGERANTES,13/05/2023,4,"8,00","32,00",REFRIGERANTES,"2,99"
AGUA MINERAL,BEBIDAS,16/07/2021,3,"5,00","15,00",BEBIDAS,"0,85"
COCA COLA 350ML,BEBIDAS REFRIGERANTES,29/04/2023,26,"8,00","208,00",REFRIGERANTES,"3,19"
SPACE CHAI,DRINKS NAO ALCOOLICOS,04/03/2023,6,"15,00","90,00",CHA,"2,78"
GRANDE ICED AMERICANO,CAFE CLASSICOS,11/02/2023,1,"9,00","9,00",CAFE FRIO,"1,63"
CHA MATE COM LIMAO GELADO,BEBIDAS,14/10/2022,4,"8,00","32,00",CHA,"0,18"
LUMPY SUNRISE,DRINKS NAO ALCOOLICOS,08/03/2022,1,"15,00","15,00",DRINKS NAO ALCOOLICOS,"3,34"
FRAPPE CARAMELO,CAFE CLASSICOS,25/05/2021,1,"15,00","15,00",FRAPPE,"2,96"
COCA COLA LATA DIET 350ML,BEBIDAS,23/02/2022,4,"7,00","28,00",REFRIGERANTES,"3,19"
CHA MATE COM LIMAO GELADO,BEBIDAS,09/09/2021,1,"7,00","7,00",CHA,"0,18"
TACA DE VINHO,BEBIDAS VINHOS,05/06/2021,4,"15,00","60,00",VINHOS,"4,76"
CHANTILY EXTRA,CAFE CLASSICOS,17/05/2022,1,"0,0","0,0",EXTRA,"1,38"
FRAPPE UNICORNIO,CAFE CLASSICOS,18/08/2021,2,"17,00","34,00",FRAPPE,"3,11"
SODA ITALIANA,DRINKS NAO ALCOOLICOS,14/02/2023,2,"12,00","24,00",DRINKS NAO ALCOOLICOS,"1,62"
AGUA MINERAL,BEBIDAS,20/02/2022,13,"5,00","65,00",BEBIDAS,"0,85"
CERVEJA PABST LATA,BEBIDAS CERVEJAS,19/11/2022,7,"9,00","63,00",CERVEJAS,"4,99"
CHA VERDE GELADO COM LIMAO,CAFE CLASSICOS,15/12/2022,5,"8,00","40,00",CHA,"1,92"
AGUA MINERAL,BEBIDAS,25/05/2021,1,"5,00","5,00",BEBIDAS,"0,85"
GIN TONICA,DRINKS ALCOOLICOS,22/05/2021,1,"23,00","23,00",DRINKS ALCOOLICOS,"7,59"
TWIX,CAFE AUTORAIS,20/01/2023,2,"18,00","36,00",BEBIDAS QUENTES,"3,92"
SODA ITALIANA,DRINKS NAO ALCOOLICOS,19/04/2023,2,"12,00","24,00",DRINKS NAO ALCOOLICOS,"1,62"
CHA MATE COM LIMAO GELADO,BEBIDAS,24/04/2021,7,"7,00","49,00",CHA,"0,18"
FANTA LARANJA LATA 350ML,BEBIDAS REFRIGERANTES,12/05/2023,2,"8,00","16,00",REFRIGERANTES,"2,89"
GRANDE ICED MOCHA,CAFE CLASSICOS,11/03/2023,5,"15,00","75,00",CAFE FRIO,"3,91"
CHA MATE NATURAL GELADO,BEBIDAS,28/02/2022,3,"7,00","21,00",CHA,"0,07"
MOCHA,CAFE CLASSICOS,02/09/2021,1,"13,00","13,00",BEBIDAS QUENTES,"2,32"
GRANDE AMERICANO,CAFE CLASSICOS,21/09/2021,1,"9,00","9,00",CAFE,"1,63"
COCA COLA 350ML,BEBIDAS REFRIGERANTES,31/07/2021,17,"7,00","119,00",REFRIGERANTES,"3,19"
HONG KONG,CAFE AUTORAIS,01/05/2023,3,"12,00","36,00",CAFE FRIO,"2,07"
CHA MATE COM PESSEGO GELADO,BEBIDAS,18/06/2022,5,"8,00","40,00",CHA,"1,88"
CAIPIRINHA,DRINKS ALCOOLICOS,15/10/2021,1,"18,00","18,00",DRINKS ALCOOLICOS,"3,22"
COCA COLA LATA DIET 350ML,BEBIDAS,21/10/2022,8,"7,00","56,00",REFRIGERANTES,"3,19"
DOSE DE SAQUE,DRINKS ALCOOLICOS,13/05/2022,2,"5,00","10,00",DRINKS ALCOOLICOS,"1,82"
BATIDO COCO LOKO,DRINKS ALCOOLICOS,25/08/2021,1,"18,00","18,00",DRINKS ALCOOLICOS,"5,61"
FRAPPE CARAMELO,CAFE CLASSICOS,09/11/2021,1,"15,00","15,00",FRAPPE,"2,96"
PEPSI LATA 350ML,BEBIDAS REFRIGERANTES,04/12/2021,1,"7,00","7,00",REFRIGERANTES,"3,99"
AGUA MINERAL,BEBIDAS,12/01/2023,2,"6,00","12,00",BEBIDAS,"0,85"
COCA COLA 350ML,BEBIDAS REFRIGERANTES,11/05/2021,3,"7,00","21,00",REFRIGERANTES,"3,19"
MILK TEA TRADICIONAL,CAFE CLASSICOS,08/02/2023,3,"15,00","45,00",CHA,"2,76"
IRISH COFFEE,DRINKS ALCOOLICOS,07/05/2023,1,"31,00","31,00",DRINKS ALCOOLICOS,"10,11"
AGUA TONICA,BEBIDAS,03/05/2022,1,"7,00","7,00",BEBIDAS,"2,16"
PINK LEMONADE,DRINKS NAO ALCOOLICOS,01/10/2022,3,"12,00","36,00",DRINKS NAO ALCOOLICOS,"1,02"
ESPRESSO,CAFE CLASSICOS,16/12/2022,2,"5,00","10,00",CAFE,"0,81"
CHA MATE COM LIMAO GELADO,BEBIDAS,03/08/2022,4,"8,00","32,00",CHA,"0,18"
APPLE MARTINI,DRINKS ALCOOLICOS,19/06/2021,1,"20,00","20,00",DRINKS ALCOOLICOS,"2,91"
COCA COLA LATA DIET 350ML,BEBIDAS,06/03/2022,4,"7,00","28,00",REFRIGERANTES,"3,19"
CHA VERDE GELADO COM LIMAO,CAFE CLASSICOS,24/07/2022,4,"8,00","32,00",CHA,"1,92"
ICED TEA,BEBIDAS,16/07/2022,11,"8,00","88,00",CHA,"0,92"
GUARANA ANTARCTICA 350ML,BEBIDAS REFRIGERANTES,12/09/2021,2,"7,00","14,00",REFRIGERANTES,"2,99"
JAIPUR,CAFE AUTORAIS,27/11/2022,1,"12,00","12,00",CHA,"0,77"
FRAPPE POCAO DO AMOR,BEBIDAS,13/02/2021,5,"17,00","85,00",FRAPPE,"4,86"
CERVEJA ORIGINAL,BEBIDAS CERVEJAS,18/03/2023,6,"9,00","54,00",CERVEJAS,"3,19"
ESPRESSO DUPLO,CAFE CLASSICOS,23/02/2023,1,"9,00","9,00",CAFE,"1,62"
COCA COLA LATA DIET 350ML,BEBIDAS,20/01/2022,3,"7,00","21,00",REFRIGERANTES,"3,19"
AGUA MINERAL,BEBIDAS,27/01/2022,5,"5,00","25,00",BEBIDAS,"0,85"
COCADA FRESH,DRINKS NAO ALCOOLICOS,06/02/2022,1,"9,00","9,00",DRINKS NAO ALCOOLICOS,"2,84"
GUARANA ANTARCTICA 350ML,BEBIDAS REFRIGERANTES,22/12/2021,14,"7,00","98,00",REFRIGERANTES,"2,99"
CHA QUENTE GENMAICHA,BEBIDAS,16/09/2022,1,"5,00","5,00",CHA,"0,21"
SPACE CHAI,DRINKS NAO ALCOOLICOS,02/04/2023,1,"15,00","15,00",CHA,"2,78"
GRANDE CHOCOLATE QUENTE EUROPEU,CAFE CLASSICOS,28/01/2023,3,"15,00","45,00",BEBIDAS QUENTES,"3,53"
FRAPPE MOCHA,CAFE CLASSICOS,14/02/2023,1,"18,00","18,00",FRAPPE,"4,41"
CHA MATE NATURAL GELADO,BEBIDAS,21/07/2022,2,"7,00","14,00",CHA,"0,07"
GRANDE ICED MOCHA,CAFE CLASSICOS,23/10/2022,1,"15,00","15,00",CAFE FRIO,"3,91"
CERVEJA MANIACS WITBIER,BEBIDAS CERVEJAS,26/04/2022,1,"12,00","12,00",CERVEJAS,"5,36"
SAQUE FRESH,DRINKS ALCOOLICOS,08/02/2022,1,"20,00","20,00",DRINKS ALCOOLICOS,"3,44"
BUTTERBEER,DRINKS NAO ALCOOLICOS,16/01/2021,15,"15,00","225,00",DRINKS NAO ALCOOLICOS,"1,62"
ORANGE COFFEE,CAFE AUTORAIS,14/03/2023,1,"14,00","14,00",CAFE FRIO,"3,32"
CHOCOLATE GELADO,CAFE CLASSICOS,14/09/2022,1,"10,00","10,00",CAFE FRIO,"3,53"
CAPPUCCINO GELADO,CAFE CLASSICOS,06/02/2022,1,"10,00","10,00",CAFE FRIO,"2,49"
APPLE MARTINI,DRINKS ALCOOLICOS,31/07/2022,5,"25,00","125,00",DRINKS ALCOOLICOS,"2,91"
ICED CARAMELO MACCHIATO,CAFE AUTORAIS,15/12/2022,6,"9,00","54,00",CAFE FRIO,"2,08"
COCA COLA 350ML,BEBIDAS REFRIGERANTES,18/12/2022,42,"8,00","336,00",REFRIGERANTES,"3,19"
AMERICANO,CAFE CLASSICOS,12/08/2022,3,"5,00","15,00",CAFE,"0,81"
ESPRESSO,CAFE CLASSICOS,25/02/2021,2,"5,00","10,00",CAFE,"0,81"
CAIPIRINHA,DRINKS ALCOOLICOS,08/05/2022,3,"18,00","54,00",DRINKS ALCOOLICOS,"3,22"
SAQUE FRESH,DRINKS ALCOOLICOS,09/04/2023,3,"20,00","60,00",DRINKS ALCOOLICOS,"3,44"
FRAPPE LEITINHO E NUTELLA,CAFE AUTORAIS,01/05/2022,7,"21,00","147,00",FRAPPE,"6,45"
GRANDE MOCHA,CAFE CLASSICOS,15/01/2022,1,"15,00","15,00",BEBIDAS QUENTES,"3,91"
ENERGETICO,BEBIDAS REFRIGERANTES,13/03/2022,3,"14,00","42,00",REFRIGERANTES,"9,19"
NEGRONI,DRINKS ALCOOLICOS,11/02/2023,1,"32,00","32,00",DRINKS ALCOOLICOS,"8,57"
FADA INSENSATA,DRINKS ALCOOLICOS,30/04/2021,1,"22,00","22,00",DRINKS ALCOOLICOS,"7,07"
GREENY SMITH,CAFE AUTORAIS,14/10/2021,1,"12,00","12,00",DRINKS NAO ALCOOLICOS,"2,25"
REFRIGERANTE DE MATCHA,DRINKS ALCOOLICOS,03/06/2021,3,"9,00","27,00",DRINKS NAO ALCOOLICOS,"0,79"
CHA QUENTE BANCHA,BEBIDAS,08/07/2021,2,"5,00","10,00",CHA,"0,28"
PINK LEMONADE,DRINKS NAO ALCOOLICOS,08/01/2022,16,"9,00","144,00",DRINKS NAO ALCOOLICOS,"1,02"
DOSE DE SAQUE,DRINKS ALCOOLICOS,05/10/2022,1,"5,00","5,00",DRINKS ALCOOLICOS,"1,82"
MOCHA,CAFE CLASSICOS,14/10/2022,1,"13,00","13,00",BEBIDAS QUENTES,"2,32"
FRAPPE CARAMELO,CAFE CLASSICOS,21/08/2021,1,"15,00","15,00",FRAPPE,"2,96"
CAPPUCCINO MEDIO,CAFE CLASSICOS,29/08/2021,1,"10,00","10,00",CAFE,"1,55"
DOSE DE CACHACA,DRINKS ALCOOLICOS,22/07/2022,3,"5,00","15,00",DRINKS ALCOOLICOS,"2,65"
AGUA MINERAL,BEBIDAS,08/04/2022,5,"5,00","25,00",BEBIDAS,"0,85"
COCA COLA LATA DIET 350ML,BEBIDAS,14/01/2022,2,"7,00","14,00",REFRIGERANTES,"3,19"
CARAMELO MACCHIATO,CAFE AUTORAIS,18/03/2023,3,"9,00","27,00",BEBIDAS QUENTES,"2,06"
GRANDE ICED MOCHA,CAFE CLASSICOS,13/02/2022,1,"15,00","15,00",CAFE FRIO,"3,91"
CARAMELO MACCHIATO,CAFE AUTORAIS,19/02/2023,4,"9,00","36,00",BEBIDAS QUENTES,"2,06"
APPLE MARTINI,DRINKS ALCOOLICOS,08/07/2022,5,"25,00","125,00",DRINKS ALCOOLICOS,"2,91"
LEITE VEGETAL AVEIA NUDE,CAFE CLASSICOS,24/09/2022,2,"3,00","6,00",EXTRA,"0,63"
ESSENCIA DE BAUNILHA,BEBIDAS,03/12/2022,1,"1,00","1,00",EXTRA,"0,41"
SUCO DE LIMAO,BEBIDAS,22/05/2022,3,"9,00","27,00",BEBIDAS,"0,15"
TWIX,CAFE AUTORAIS,29/04/2023,4,"18,00","72,00",BEBIDAS QUENTES,"3,92"
APPLE MARTINI,DRINKS ALCOOLICOS,14/05/2022,5,"25,00","125,00",DRINKS ALCOOLICOS,"2,91"
COCA COLA LATA DIET 350ML,BEBIDAS,03/02/2023,12,"8,00","96,00",REFRIGERANTES,"3,19"
ESPRESSO TONICA,CAFE AUTORAIS,06/12/2022,2,"14,00","28,00",CAFE FRIO,"4,41"
BATIDO COCO LOKO,DRINKS ALCOOLICOS,05/09/2021,1,"18,00","18,00",DRINKS ALCOOLICOS,"5,61"
CHOCOLATE QUENTE EUROPEU,CAFE CLASSICOS,15/07/2021,1,"9,00","9,00",BEBIDAS QUENTES,"1,76"
COCA COLA LATA DIET 350ML,BEBIDAS,18/05/2022,1,"7,00","7,00",REFRIGERANTES,"3,19"
FRAPPE MOCHA,CAFE CLASSICOS,12/11/2021,2,"15,00","30,00",FRAPPE,"4,41"
FRAPPE COOKIESN CREAM,CAFE AUTORAIS,16/04/2022,2,"21,00","42,00",FRAPPE,"4,36"
ESPRESSO EXTRA,CAFE CLASSICOS,19/02/2022,1,"0,0","0,0",EXTRA,"0,81"
REFRIGERANTE DE MATCHA,DRINKS ALCOOLICOS,21/09/2022,1,"9,00","9,00",DRINKS NAO ALCOOLICOS,"0,79"
CHA QUENTE BANCHA,BEBIDAS,06/05/2021,1,"5,00","5,00",CHA,"0,28"
CARAMELO MACCHIATO,CAFE AUTORAIS,11/05/2022,2,"9,00","18,00",BEBIDAS QUENTES,"2,06"
CAIPIRINHA,DRINKS ALCOOLICOS,19/02/2023,5,"24,00","120,00",DRINKS ALCOOLICOS,"3,22"
AGUA MINERAL,BEBIDAS,08/10/2021,6,"5,00","30,00",BEBIDAS,"0,85"
PAN GALACTIC GARGLE BLASTER,DRINKS ALCOOLICOS,25/02/2021,1,"29,00","29,00",DRINKS ALCOOLICOS,"7,22"
MELON FRESH,DRINKS NAO ALCOOLICOS,09/09/2021,3,"15,00","45,00",DRINKS NAO ALCOOLICOS,"1,62"
DOSE DE SAQUE,DRINKS ALCOOLICOS,28/03/2023,1,"5,00","5,00",DRINKS ALCOOLICOS,"1,82"
ICED TEA,BEBIDAS,06/07/2022,6,"8,00","48,00",CHA,"0,92"
CHANTILY EXTRA,CAFE CLASSICOS,07/01/2023,4,"0,0","0,0",EXTRA,"1,38"
COCADA FRESH,DRINKS NAO ALCOOLICOS,26/10/2021,1,"9,00","9,00",DRINKS NAO ALCOOLICOS,"2,84"
ICED TWIX,CAFE CLASSICOS,17/09/2022,1,"18,00","18,00",CAFE FRIO,"3,92"
AGUA TONICA,BEBIDAS,19/12/2021,2,"7,00","14,00",BEBIDAS,"2,16"
SUCO DE LARANJA,BEBIDAS,22/01/2022,7,"9,00","63,00",BEBIDAS,"2,61"
BATIDO MACA CANELA,CAFE AUTORAIS,05/05/2021,1,"9,00","9,00",FRAPPE,"6,61"
FADA INSENSATA,DRINKS ALCOOLICOS,05/03/2023,1,"32,00","32,00",DRINKS ALCOOLICOS,"7,07"
ZEN MASTER,DRINKS ALCOOLICOS,29/01/2022,7,"20,00","140,00",DRINKS ALCOOLICOS,"3,28"
CHAI LATTE,CAFE CLASSICOS,18/08/2022,1,"12,00","12,00",BEBIDAS QUENTES,"0,98"
FRAPPE LEITINHO E NUTELLA,CAFE AUTORAIS,25/01/2022,1,"21,00","21,00",FRAPPE,"6,45"
PINK LEMONADE,DRINKS NAO ALCOOLICOS,09/05/2021,1,"7,00","7,00",DRINKS NAO ALCOOLICOS,"1,02"
AGUA MINERAL,BEBIDAS,21/03/2023,12,"6,00","72,00",BEBIDAS,"0,85"
COCA COLA LATA DIET 350ML,BEBIDAS,05/02/2021,1,"7,00","7,00",REFRIGERANTES,"3,19"
FRAPPE LEITINHO E NUTELLA,CAFE AUTORAIS,06/09/2022,3,"25,00","75,00",FRAPPE,"6,45"
GRANDE ICED AMERICANO,CAFE CLASSICOS,13/11/2022,3,"9,00","27,00",CAFE FRIO,"1,63"
CHOCO BAILEYS,DRINKS ALCOOLICOS,12/02/2023,1,"36,00","36,00",DRINKS ALCOOLICOS,"9,02"
COCA COLA 350ML,BEBIDAS REFRIGERANTES,28/07/2022,22,"7,00","154,00",REFRIGERANTES,"3,19"
SUCO DE LIMAO,BEBIDAS,26/03/2023,9,"9,00","81,00",BEBIDAS,"0,15"
GRANDE AMERICANO,CAFE CLASSICOS,06/09/2022,1,"9,00","9,00",CAFE,"1,63"
H2O LIMAO 500ML,BEBIDAS REFRIGERANTES,22/09/2021,2,"8,00","16,00",REFRIGERANTES,"2,57"
BUTTERBEER,DRINKS NAO ALCOOLICOS,03/02/2021,2,"15,00","30,00",DRINKS NAO ALCOOLICOS,"1,62"
CHA MATE COM LIMAO GELADO,BEBIDAS,04/05/2021,2,"7,00","14,00",CHA,"0,18"
COCA COLA LATA DIET 350ML,BEBIDAS,27/01/2023,5,"8,00","40,00",REFRIGERANTES,"3,19"
AGUA MINERAL,BEBIDAS,13/11/2021,24,"5,00","120,00",BEBIDAS,"0,85"
CHA QUENTE BANCHA,BEBIDAS,04/09/2022,3,"5,00","15,00",CHA,"0,28"
CHOPP,BEBIDAS CERVEJAS,10/12/2021,13,"18,00","234,00",CERVEJAS,"4,93"
ICED CARAMELO MACCHIATO,CAFE AUTORAIS,05/03/2023,5,"9,00","45,00",CAFE FRIO,"2,08"
CARAMELO MACCHIATO,CAFE AUTORAIS,01/11/2022,1,"9,00","9,00",BEBIDAS QUENTES,"2,06"
