Produto,Categoria,Data,Quantidade,PU,FT,Subcategoria,Custo
AMERICANO,CAFE CLASSICOS,18/12/2022,2,"5,00","10,00",CAFE,"0,81"
SUCO DE LIMAO,BEBIDAS,17/11/2022,1,"9,00","9,00",BEBIDAS,"0,15"
CHA VERDE GELADO COM LIMAO,CAFE CLASSICOS,04/11/2021,2,"8,00","16,00",CHA,"1,92"
MATCHA LATTE,CAFE AUTORAIS,14/03/2023,1,"10,00","10,00",BEBIDAS QUENTES,"1,59"
COCA COLA 350ML,BEBIDAS REFRIGERANTES,09/12/2022,33,"7,55","249,00",REFRIGERANTES,"3,19"
ICED MATCHA LATTE,CAFE AUTORAIS,26/05/2022,1,"12,00","12,00",CAFE FRIO,"1,59"
ESPRESSO,CAFE CLASSICOS,07/06/2022,12,"5,00","60,00",CAFE,"0,81"
GRANDE MOCHA,CAFE CLASSICOS,22/05/2021,1,"15,00","15,00",BEBIDAS QUENTES,"3,91"
ESPRESSO,CAFE CLASSICOS,28/08/2022,5,"5,00","25,00",CAFE,"0,81"
FRAPPE MORANGO,CAFE CLASSICOS,07/08/2022,1,"17,00","17,00",FRAPPE,"4,41"
CERVEJA BROOKLYN LAGER,BEBIDAS CERVEJAS,03/05/2022,1,"18,00","18,00",CERVEJAS,"8,68"
FADA INSENSATA,DRINKS ALCOOLICOS,12/09/2021,4,"22,00","88,00",DRINKS ALCOOLICOS,"7,07"
ZEN MASTER,DRINKS ALCOOLICOS,16/02/2022,1,"20,00","20,00",DRINKS ALCOOLICOS,"3,28"
LEITE VEGETAL AVEIA NUDE,CAFE CLASSICOS,13/05/2023,5,"3,00","15,00",EXTRA,"0,63"
COCA COLA 350ML,BEBIDAS REFRIGERANTES,23/01/2022,16,"7,00","112,00",REFRIGERANTES,"3,19"
BUTTERBEER,DRINKS NAO ALCOOLICOS,11/05/2022,3,"15,00","45,00",DRINKS NAO ALCOOLICOS,"1,62"
CERVEJA HEINEKEN,BEBIDAS CERVEJAS,03/09/2022,2,"9,00","18,00",CERVEJAS,"5,99"
SUCO DE LARANJA,BEBIDAS,15/07/2021,6,"9,00","54,00",BEBIDAS,"2,61"
SODA ITALIANA,DRINKS NAO ALCOOLICOS,12/09/2021,3,"8,00","24,00",DRINKS NAO ALCOOLICOS,"1,62"
ICED TWIX,CAFE CLASSICOS,06/05/2023,6,"18,00","108,00",CAFE FRIO,"3,92"
LAVA LAMP,DRINKS NAO ALCOOLICOS,10/06/2022,5,"9,00","45,00",DRINKS NAO ALCOOLICOS,"1,51"
CHA QUENTE GENMAICHA,BEBIDAS,30/05/2021,1,"5,00","5,00",CHA,"0,21"
GRANDE CAPPUCCINO,CAFE CLASSICOS,07/08/2022,2,"13,00","26,00",CAFE,"1,47"
CHOCOWHISKEY,DRINKS ALCOOLICOS,05/03/2023,1,"39,00","39,00",DRINKS ALCOOLICOS,"7,55"
OPEN BAR 1,DRINKS ALCOOLICOS,14/10/2022,10,"65,00","650,00",OPEN BAR,"0,0"
PINK LEMONADE,DRINKS NAO ALCOOLICOS,06/09/2022,4,"12,00","48,00",DRINKS NAO ALCOOLICOS,"1,02"
GREENY SMITH,CAFE AUTORAIS,24/09/2021,1,"12,00","12,00",DRINKS NAO ALCOOLICOS,"2,25"
APPLE MARTINI,DRINKS ALCOOLICOS,04/11/2021,2,"25,00","50,00",DRINKS ALCOOLICOS,"2,91"
BUTTERBEER,DRINKS NAO ALCOOLICOS,24/06/2022,1,"15,00","15,00",DRINKS NAO ALCOOLICOS,"1,62"
CHAI LATTE,CAFE CLASSICOS,26/06/2022,1,"12,00","12,00",BEBIDAS QUENTES,"0,98"
GIN TONICA,DRINKS ALCOOLICOS,19/02/2023,3,"32,00","96,00",DRINKS ALCOOLICOS,"7,59"
PINK LEMONADE,DRINKS NAO ALCOOLICOS,19/04/2022,2,"9,00","18,00",DRINKS NAO ALCOOLICOS,"1,02"
FADA INSENSATA,DRINKS ALCOOLICOS,07/05/2022,7,"32,00","224,00",DRINKS ALCOOLICOS,"7,07"
CERVEJA MANIACS ALOHA,BEBIDAS CERVEJAS,24/01/2023,2,"14,00","28,00",CERVEJAS,"5,36"
GREENY SMITH,CAFE AUTORAIS,05/04/2022,2,"12,00","24,00",DRINKS NAO ALCOOLICOS,"2,25"
CERVEJA MANIACS WITBIER,BEBIDAS CERVEJAS,11/06/2022,8,"12,00","96,00",CERVEJAS,"5,36"
FRAPPE MOCHA,CAFE CLASSICOS,23/05/2021,1,"15,00","15,00",FRAPPE,"4,41"
ESPRESSO,CAFE CLASSICOS,21/02/2023,5,"5,00","25,00",CAFE,"0,81"
ZOMBIE,DRINKS ALCOOLICOS,23/04/2021,1,"22,00","22,00",DRINKS ALCOOLICOS,"3,85"
CHA MATE NATURAL GELADO,BEBIDAS,18/09/2022,4,"7,00","28,00",CHA,"0,07"
CHOCOLATE GELADO,CAFE CLASSICOS,04/10/2022,2,"10,00","20,00",CAFE FRIO,"3,53"
CHOCOLATE GELADO,CAFE CLASSICOS,07/02/2021,1,"13,00","13,00",CAFE FRIO,"3,53"
BATIDO COCO LOKO,DRINKS ALCOOLICOS,05/09/2022,1,"18,00","18,00",DRINKS ALCOOLICOS,"5,61"
CHA QUENTE GENMAICHA,BEBIDAS,26/06/2021,1,"5,00","5,00",CHA,"0,21"
COCA COLA 350ML,BEBIDAS REFRIGERANTES,17/08/2022,5,"7,00","35,00",REFRIGERANTES,"3,19"
PINK LEMONADE,DRINKS NAO ALCOOLICOS,23/07/2021,5,"7,00","35,00",DRINKS NAO ALCOOLICOS,"1,02"
DOSE DE TEQUILA OURO,DRINKS ALCOOLICOS,30/04/2023,1,"20,00","20,00",DRINKS ALCOOLICOS,"8,33"
MATCHA LATTE,CAFE AUTORAIS,29/09/2022,1,"10,00","10,00",BEBIDAS QUENTES,"1,59"
SODA LIMONADA ANTARCTICA  DIET LATA 350ML,BEBIDAS REFRIGERANTES,10/02/2022,1,"7,00","7,00",REFRIGERANTES,"3,2"
COCA COLA LATA DIET 350ML,BEBIDAS,05/11/2021,3,"7,00","21,00",REFRIGERANTES,"3,19"
ICED TWIX,CAFE CLASSICOS,11/02/2022,2,"15,00","30,00",CAFE FRIO,"3,92"
CALDA DE CHOCOLATE,BEBIDAS,03/05/2023,1,"2,00","2,00",EXTRA,"0,86"
GIN TONICA,DRINKS ALCOOLICOS,21/06/2022,1,"28,00","28,00",DRINKS ALCOOLICOS,"7,59"
CHA MATE COM LIMAO GELADO,BEBIDAS,29/04/2023,1,"9,00","9,00",CHA,"0,18"
CERVEJA BROOKLYN LAGER,BEBIDAS CERVEJAS,04/03/2022,1,"18,00","18,00",CERVEJAS,"8,68"
MELON FRESH,DRINKS NAO ALCOOLICOS,19/09/2021,3,"15,00","45,00",DRINKS NAO ALCOOLICOS,"1,62"
NEGRONI,DRINKS ALCOOLICOS,24/07/2021,2,"23,00","46,00",DRINKS ALCOOLICOS,"8,57"
GRANDE AMERICANO,CAFE CLASSICOS,23/07/2021,1,"9,00","9,00",CAFE,"1,63"
SODA ITALIANA,DRINKS NAO ALCOOLICOS,25/03/2022,7,"9,00","63,00",DRINKS NAO ALCOOLICOS,"1,62"
GRANDE MOCHA,CAFE CLASSICOS,29/01/2023,3,"15,00","45,00",BEBIDAS QUENTES,"3,91"
CHA VERDE GELADO COM LIMAO,CAFE CLASSICOS,25/10/2022,1,"8,00","8,00",CHA,"1,92"
CAIPIRINHA,DRINKS ALCOOLICOS,21/08/2021,4,"18,00","72,00",DRINKS ALCOOLICOS,"3,22"
COCA COLA 350ML,BEBIDAS REFRIGERANTES,31/03/2022,3,"7,00","21,00",REFRIGERANTES,"3,19"
SUCO DE LARANJA,BEBIDAS,04/02/2021,3,"9,00","27,00",BEBIDAS,"2,61"
FRAPPE CARAMELO,CAFE CLASSICOS,09/01/2022,1,"15,00","15,00",FRAPPE,"2,96"
AGUA COM GAS,BEBIDAS,21/04/2021,1,"7,00","7,00",BEBIDAS,"0,97"
PINK LEMONADE,DRINKS NAO ALCOOLICOS,01/04/2023,8,"12,00","96,00",DRINKS NAO ALCOOLICOS,"1,02"
CHA VERDE GELADO COM LIMAO,CAFE CLASSICOS,09/07/2021,5,"8,00","40,00",CHA,"1,92"
JAIPUR,CAFE AUTORAIS,03/06/2021,4,"12,00","48,00",CHA,"0,77"
CHOPP,BEBIDAS CERVEJAS,24/11/2021,9,"18,00","162,00",CERVEJAS,"4,93"
LATTE MEDIO,CAFE CLASSICOS,22/10/2021,1,"9,00","9,00",BEBIDAS QUENTES,"1,92"
FRAPPE ANIVERSARIO,CAFE AUTORAIS,02/11/2022,2,"18,00","36,00",FRAPPE,"4,69"
FRAPPE UNICORNIO,CAFE CLASSICOS,16/09/2021,4,"17,00","68,00",FRAPPE,"3,11"
GRANDE MOCHA,CAFE CLASSICOS,13/05/2023,1,"15,00","15,00",BEBIDAS QUENTES,"3,91"
ICED TEA,BEBIDAS,22/06/2022,1,"8,00","8,00",CHA,"0,92"
FRAPPE LEITINHO E NUTELLA,CAFE AUTORAIS,05/02/2022,5,"21,00","105,00",FRAPPE,"6,45"
LATTE MEDIO,CAFE CLASSICOS,12/07/2022,1,"9,00","9,00",BEBIDAS QUENTES,"1,92"
FLORESTA NEGRA,CAFE AUTORAIS,22/05/2022,1,"18,00","18,00",BEBIDAS QUENTES,"3,93"
CHOCOLATE GELADO,CAFE CLASSICOS,22/07/2022,1,"10,00","10,00",CAFE FRIO,"3,53"
COCA COLA LATA DIET 350ML,BEBIDAS,03/06/2021,4,"7,00","28,00",REFRIGERANTES,"3,19"
ESPRESSO,CAFE CLASSICOS,24/02/2023,4,"5,00","20,00",CAFE,"0,81"
BODO BLUE,DRINKS NAO ALCOOLICOS,16/01/2022,4,"9,00","36,00",DRINKS NAO ALCOOLICOS,"1,62"
CARAMELO MACCHIATO,CAFE AUTORAIS,04/05/2022,1,"9,00","9,00",BEBIDAS QUENTES,"2,06"
GIN TONICA,DRINKS ALCOOLICOS,04/03/2022,3,"23,00","69,00",DRINKS ALCOOLICOS,"7,59"
FRAPPE MATCHA,CAFE CLASSICOS,13/02/2022,3,"15,00","45,00",FRAPPE,"2,78"
FADA INSENSATA,DRINKS ALCOOLICOS,21/01/2021,1,"22,00","22,00",DRINKS ALCOOLICOS,"7,07"
LUMPY SUNRISE,DRINKS NAO ALCOOLICOS,21/04/2023,7,"15,00","105,00",DRINKS NAO ALCOOLICOS,"3,34"
FRAPPE PACOQUINHA,CAFE AUTORAIS,16/01/2022,1,"18,00","18,00",FRAPPE,"4,71"
CAPPUCCINO MEDIO,CAFE CLASSICOS,05/10/2021,1,"10,00","10,00",CAFE,"1,55"
DOSE DE CACHACA,DRINKS ALCOOLICOS,25/06/2022,2,"5,00","10,00",DRINKS ALCOOLICOS,"2,65"
AGUA TONICA,BEBIDAS,06/05/2022,1,"7,00","7,00",BEBIDAS,"2,16"
COADO,CAFE CLASSICOS,07/01/2023,1,"8,00","8,00",CAFE,"3,06"
