Loja,Produto,Categoria,Data,Quantidade,Valor Unitário Médio,Total
Restaurante Bodogami,COCA COLA 350ML,BEBIDAS REFRIGERANTES,01/11/2022,8,"R$7,00","R$56,00"
Restaurante Bodogami,GRANDE CHOCOLATE QUENTE EUROPEU,CAFE CLASSICOS,15/10/2022,1,"R$15,00","R$15,00"
Restaurante Bodogami,FRAPPE SET BELO,CAFE AUTORAIS,14/03/2023,1,"R$18,00","R$18,00"
Restaurante Bodogami,FADA INSENSATA,DRINKS ALCOOLICOS,27/01/2023,4,"R$32,00","R$128,00"
Restaurante Bodogami,DOSE DE CACHACA,DRINKS ALCOOLICOS,29/01/2022,6,"R$5,00","R$30,00"
Restaurante Bodogami,VANILLA COLD BREW,CAFE AUTORAIS,16/06/2022,1,"R$12,00","R$12,00"
Restaurante Bodogami,SUCO DE LARANJA,BEBIDAS,10/06/2022,5,"R$9,00","R$45,00"
Restaurante Bodogami,REFRIGERANTE DE MATCHA,DRINKS ALCOOLICOS,14/02/2023,5,"R$9,00","R$45,00"
Restaurante Bodogami,CERVEJA BROOKLYN LAGER,BEBIDAS CERVEJAS,12/04/2022,1,"R$18,00","R$18,00"
Restaurante Bodogami,CHA MATE NATURAL GELADO,BEBIDAS,14/10/2022,1,"R$7,00","R$7,00"
Restaurante Bodogami,FRAPPE UNICORNIO MUTANTE,CAFE AUTORAIS,29/10/2021,1,"R$18,00","R$18,00"
Restaurante Bodogami,PINK LEMONADE,DRINKS NAO ALCOOLICOS,24/01/2023,1,"R$12,00","R$12,00"
Restaurante Bodogami,IRISH COFFEE,DRINKS ALCOOLICOS,30/07/2022,4,"R$26,00","R$104,00"
Restaurante Bodogami,SAQUE FRESH,DRINKS ALCOOLICOS,10/07/2021,6,"R$20,00","R$120,00"
Restaurante Bodogami,FRAPPE UNICORNIO,CAFE CLASSICOS,29/01/2021,2,"R$17,00","R$34,00"
Restaurante Bodogami,ICED TWIX,CAFE CLASSICOS,30/04/2022,4,"R$15,00","R$60,00"
Restaurante Bodogami,DOSE DE CACHACA,DRINKS ALCOOLICOS,15/10/2022,1,"R$5,00","R$5,00"
Restaurante Bodogami,GRANDE MOCHA,CAFE CLASSICOS,31/07/2022,6,"R$15,00","R$90,00"
Restaurante Bodogami,CHA MATE COM PESSEGO GELADO,BEBIDAS,10/04/2021,1,"R$7,00","R$7,00"
Restaurante Bodogami,BUTTERBEER,DRINKS NAO ALCOOLICOS,21/08/2021,8,"R$15,00","R$120,00"
Restaurante Bodogami,SUCO DE LARANJA,BEBIDAS,29/03/2023,2,"R$12,00","R$24,00"
Restaurante Bodogami,ESPRESSO MOCKTINI,CAFE AUTORAIS,28/01/2022,1,"R$14,00","R$14,00"
Restaurante Bodogami,CERVEJA BROOKLYN EAST IPA,BEBIDAS CERVEJAS,14/07/2022,2,"R$18,00","R$36,00"
Restaurante Bodogami,FADA INSENSATA,DRINKS ALCOOLICOS,06/02/2022,4,"R$28,00","R$112,00"
Restaurante Bodogami,BUBBLE COFFEE,CAFE AUTORAIS,14/08/2021,1,"R$12,00","R$12,00"
Restaurante Bodogami,ESPRESSO,CAFE CLASSICOS,26/06/2022,9,"R$5,00","R$45,00"
Restaurante Bodogami,ESPRESSO TONICA,CAFE AUTORAIS,19/06/2022,1,"R$14,00","R$14,00"
Restaurante Bodogami,BATIDO COCO LOKO,DRINKS ALCOOLICOS,30/10/2022,1,"R$29,00","R$29,00"
Restaurante Bodogami,SPRITE LATA 350ML,BEBIDAS REFRIGERANTES,17/08/2022,1,"R$7,00","R$7,00"
Restaurante Bodogami,ICED TEA,BEBIDAS,07/05/2022,9,"R$8,00","R$72,00"
Restaurante Bodogami,COLD BREW,CAFE CLASSICOS,12/01/2023,1,"R$12,00","R$12,00"
Restaurante Bodogami,COCA COLA LATA DIET 350ML,BEBIDAS,28/03/2021,1,"R$7,00","R$7,00"
Restaurante Bodogami,CAIPIRINHA,DRINKS ALCOOLICOS,06/02/2021,1,"R$18,00","R$18,00"
Restaurante Bodogami,ZOMBIE,DRINKS ALCOOLICOS,04/06/2021,2,"R$22,00","R$44,00"
Restaurante Bodogami,IRISH COFFEE,DRINKS ALCOOLICOS,01/05/2022,1,"R$26,00","R$26,00"
Restaurante Bodogami,REFRIGERANTE DE MATCHA,DRINKS ALCOOLICOS,21/03/2023,5,"R$9,00","R$45,00"
Restaurante Bodogami,CERVEJA HEINEKEN LATA 350ML,BEBIDAS CERVEJAS,03/08/2021,2,"R$9,00","R$18,00"
Restaurante Bodogami,CAPPUCCINO GELADO,CAFE CLASSICOS,19/09/2021,1,"R$10,00","R$10,00"
Restaurante Bodogami,SUCO DE LIMAO,BEBIDAS,20/09/2022,4,"R$9,00","R$36,00"
Restaurante Bodogami,PINK LEMONADE,DRINKS NAO ALCOOLICOS,07/02/2023,1,"R$12,00","R$12,00"
Restaurante Bodogami,CAPPUCCINO MEDIO,CAFE CLASSICOS,02/05/2021,1,"R$10,00","R$10,00"
Restaurante Bodogami,DOSE DE WHISKEY,DRINKS ALCOOLICOS,13/07/2022,2,"R$22,00","R$44,00"
Restaurante Bodogami,COUVERT LUDICO SEMANA,EVENTOS,27/04/2022,30,"R$15,00","R$450,00"
Restaurante Bodogami,MOCHA,CAFE CLASSICOS,06/11/2022,1,"R$13,00","R$13,00"
Restaurante Bodogami,SMOOTHIE CHOCO BANANA,CAFE AUTORAIS,23/04/2021,1,"R$2,00","R$2,00"
Restaurante Bodogami,MATCHA LATTE,CAFE AUTORAIS,19/04/2023,1,"R$10,00","R$10,00"
Restaurante Bodogami,CHOCOLATE GELADO,CAFE CLASSICOS,27/05/2022,1,"R$10,00","R$10,00"
Restaurante Bodogami,PINK LEMONADE,DRINKS NAO ALCOOLICOS,15/02/2023,4,"R$12,00","R$48,00"
Restaurante Bodogami,CAIPIRINHA,DRINKS ALCOOLICOS,01/06/2022,1,"R$18,00","R$18,00"
Restaurante Bodogami,VIRGIN BODOJITO,DRINKS NAO ALCOOLICOS,24/03/2023,4,"R$15,00","R$60,00"
Restaurante Bodogami,CAPPUCCINO GELADO,CAFE CLASSICOS,03/09/2021,1,"R$10,00","R$10,00"
Restaurante Bodogami,ESPRESSO,CAFE CLASSICOS,18/01/2023,2,"R$5,00","R$10,00"
Restaurante Bodogami,FRAPPE UNICORNIO,CAFE CLASSICOS,06/02/2021,5,"R$17,00","R$85,00"
Restaurante Bodogami,FADA INSENSATA,DRINKS ALCOOLICOS,15/08/2021,2,"R$22,00","R$44,00"
Restaurante Bodogami,SODA ITALIANA CUST,DRINKS NAO ALCOOLICOS,21/01/2023,35,"R$12,00","R$420,00"
Restaurante Bodogami,H2O LIMAO 500ML,BEBIDAS REFRIGERANTES,03/10/2021,6,"R$8,00","R$48,00"
Restaurante Bodogami,GREENY SMITH,CAFE AUTORAIS,25/11/2021,4,"R$12,00","R$48,00"
Restaurante Bodogami,VANILLA COLD BREW,CAFE AUTORAIS,27/08/2022,1,"R$12,00","R$12,00"
Restaurante Bodogami,LUMPY SUNRISE,DRINKS NAO ALCOOLICOS,01/12/2022,1,"R$15,00","R$15,00"
Restaurante Bodogami,COCA COLA LATA DIET 350ML,BEBIDAS,20/05/2022,4,"R$7,00","R$28,00"
Restaurante Bodogami,CHA MATE COM PESSEGO GELADO,BEBIDAS,28/01/2021,1,"R$7,00","R$7,00"
Restaurante Bodogami,AMERICANO,CAFE CLASSICOS,21/07/2021,1,"R$5,00","R$5,00"
Restaurante Bodogami,COLD BREW,CAFE CLASSICOS,29/01/2021,1,"R$9,00","R$9,00"
Restaurante Bodogami,SODA ITALIANA CUST,DRINKS NAO ALCOOLICOS,16/09/2021,2,"R$8,00","R$16,00"
Restaurante Bodogami,DOSE DE WHISKEY,DRINKS ALCOOLICOS,25/11/2022,1,"R$22,00","R$22,00"
Restaurante Bodogami,SUCO DE LARANJA,BEBIDAS,12/02/2021,3,"R$9,00","R$27,00"
Restaurante Bodogami,TWIX,CAFE AUTORAIS,17/12/2022,1,"R$18,00","R$18,00"
Restaurante Bodogami,CERVEJA MANIACS IPA,BEBIDAS CERVEJAS,07/10/2022,1,"R$12,00","R$12,00"
Restaurante Bodogami,SUCO DE LIMAO,BEBIDAS,20/02/2023,7,"R$9,00","R$63,00"
Restaurante Bodogami,CHA QUENTE GENMAICHA,BEBIDAS,11/06/2022,1,"R$5,00","R$5,00"
Restaurante Bodogami,CERVEJA MANIACS WITBIER,BEBIDAS CERVEJAS,17/12/2021,5,"R$12,00","R$60,00"
Restaurante Bodogami,PINK LEMONADE,DRINKS NAO ALCOOLICOS,11/04/2023,1,"R$12,00","R$12,00"
Restaurante Bodogami,COUVERT LUDICO SEMANA,EVENTOS,16/12/2022,52,"R$20,00","R$1.040,00"
Restaurante Bodogami,ESSENCIA DE CANELA,BEBIDAS,10/03/2023,1,"R$1,00","R$1,00"
Restaurante Bodogami,VIUVA NEGRA SCARLETTI,DRINKS ALCOOLICOS,28/02/2022,1,"R$26,00","R$26,00"
Restaurante Bodogami,REFRIGERANTE DE MATCHA,DRINKS ALCOOLICOS,17/08/2022,3,"R$9,00","R$27,00"
Restaurante Bodogami,VIRGIN BODOJITO,DRINKS NAO ALCOOLICOS,20/02/2023,2,"R$15,00","R$30,00"
Restaurante Bodogami,FRAPPE MOCHA,CAFE CLASSICOS,09/07/2021,1,"R$15,00","R$15,00"
Restaurante Bodogami,DOSE DE SAQUE,DRINKS ALCOOLICOS,05/12/2022,2,"R$5,00","R$10,00"
Restaurante Bodogami,COCADA FRESH,DRINKS NAO ALCOOLICOS,20/02/2023,1,"R$15,00","R$15,00"
Restaurante Bodogami,COADO,CAFE CLASSICOS,15/05/2021,1,"R$5,00","R$5,00"
Restaurante Bodogami,SODA ITALIANA,DRINKS NAO ALCOOLICOS,09/02/2022,2,"R$9,00","R$18,00"
Restaurante Bodogami,FRAPPE CARAMELO,CAFE CLASSICOS,07/02/2021,1,"R$15,00","R$15,00"
Restaurante Bodogami,CERVEJA MANIACS ALOHA,BEBIDAS CERVEJAS,02/02/2023,1,"R$14,00","R$14,00"
Restaurante Bodogami,ESPRESSO,CAFE CLASSICOS,12/10/2021,3,"R$5,00","R$15,00"
Restaurante Bodogami,TWIX,CAFE AUTORAIS,30/07/2021,3,"R$15,00","R$45,00"
Restaurante Bodogami,ORANGE COFFEE,CAFE AUTORAIS,06/10/2021,2,"R$12,00","R$24,00"
Restaurante Bodogami,CHA QUENTE SENCHA,BEBIDAS,26/10/2021,1,"R$5,00","R$5,00"
Restaurante Bodogami,GUARANA ANTARCTICA 350ML,BEBIDAS REFRIGERANTES,21/01/2023,6,"R$8,00","R$48,00"
Restaurante Bodogami,CHA MATE COM PESSEGO GELADO,BEBIDAS,20/07/2021,2,"R$7,00","R$14,00"
Restaurante Bodogami,CHANTILY EXTRA,CAFE CLASSICOS,20/04/2023,1,"R$3,00","R$3,00"
Restaurante Bodogami,BUTTERBEER,DRINKS NAO ALCOOLICOS,20/01/2023,11,"R$15,00","R$165,00"
Restaurante Bodogami,PINK LEMONADE,DRINKS NAO ALCOOLICOS,26/03/2022,6,"R$9,00","R$54,00"
Restaurante Bodogami,GINGER COLD BREW,CAFE AUTORAIS,09/11/2021,1,"R$12,00","R$12,00"
Restaurante Bodogami,CHOCOLATE QUENTE EUROPEU,CAFE CLASSICOS,12/02/2023,1,"R$12,00","R$12,00"
Restaurante Bodogami,COUVERT LUDICO SEMANA,EVENTOS,17/06/2022,115,"R$20,00","R$2.300,00"
Restaurante Bodogami,CAIPIRINHA,DRINKS ALCOOLICOS,19/04/2023,3,"R$24,00","R$72,00"
Restaurante Bodogami,MARTINA IPA BLONDINE,BEBIDAS CERVEJAS,10/04/2021,1,"R$18,00","R$18,00"
Restaurante Bodogami,VIRGIN BODOJITO,DRINKS NAO ALCOOLICOS,22/03/2023,1,"R$15,00","R$15,00"
Restaurante Bodogami,CAPPUCCINO GELADO,CAFE CLASSICOS,23/02/2022,48,"R$10,81","R$519,00"
Restaurante Bodogami,BODOGAMI BOWL,DRINKS ALCOOLICOS,30/10/2021,5,"R$25,00","R$125,00"
Restaurante Bodogami,ESPRESSO,CAFE CLASSICOS,26/01/2021,3,"R$5,00","R$15,00"
Restaurante Bodogami,FRAPPE MATCHA,CAFE CLASSICOS,29/05/2021,1,"R$15,00","R$15,00"
Restaurante Bodogami,CERVEJA AMSTEL,BEBIDAS CORTESIA,19/01/2021,1,"R$9,00","R$9,00"
Restaurante Bodogami,CHAI LATTE,CAFE CLASSICOS,22/01/2021,1,"R$12,00","R$12,00"
Restaurante Bodogami,CHA MATE COM LIMAO GELADO,BEBIDAS,17/07/2022,10,"R$8,00","R$80,00"
Restaurante Bodogami,CARAMELO MACCHIATO,CAFE AUTORAIS,26/09/2021,2,"R$9,00","R$18,00"
Restaurante Bodogami,LONG ISLAND ICED COFFEE,DRINKS ALCOOLICOS,03/02/2021,1,"R$23,00","R$23,00"
Restaurante Bodogami,ICED TWIX,CAFE CLASSICOS,16/09/2022,2,"R$18,00","R$36,00"
Restaurante Bodogami,CERVEJA PRATINHA BIRUDO 355ML,BEBIDAS CERVEJAS,11/10/2021,3,"R$18,00","R$54,00"
Restaurante Bodogami,AGUA MINERAL C/ GAS AMA 350,BEBIDAS,13/04/2023,2,"R$6,00","R$12,00"
Restaurante Bodogami,BODOJITO,DRINKS ALCOOLICOS,16/12/2022,3,"R$24,00","R$72,00"
Restaurante Bodogami,BATIDO VAI FICAR TUDO BEM,DRINKS ALCOOLICOS,29/01/2022,2,"R$25,00","R$50,00"
Restaurante Bodogami,COCA COLA 350ML,BEBIDAS REFRIGERANTES,08/01/2022,30,"R$7,00","R$210,00"
Restaurante Bodogami,LEITE VEGETAL AVEIA NUDE,CAFE CLASSICOS,05/05/2023,4,"R$3,00","R$12,00"
Restaurante Bodogami,ORANGE COFFEE,CAFE AUTORAIS,29/09/2021,2,"R$12,00","R$24,00"
Restaurante Bodogami,BORDA DE NUTELLA,BEBIDAS,21/04/2023,2,"R$5,00","R$10,00"
Restaurante Bodogami,COCA COLA LATA DIET 350ML,BEBIDAS,10/03/2023,6,"R$8,00","R$48,00"
Restaurante Bodogami,ESPRESSO,CAFE CLASSICOS,22/02/2023,2,"R$5,00","R$10,00"
Restaurante Bodogami,IRISH COFFEE,DRINKS ALCOOLICOS,06/05/2023,1,"R$31,00","R$31,00"
Restaurante Bodogami,FRAPPE CARAMELO,CAFE CLASSICOS,15/05/2021,3,"R$15,00","R$45,00"
Restaurante Bodogami,ZOMBIE,DRINKS ALCOOLICOS,22/07/2021,2,"R$22,00","R$44,00"
Restaurante Bodogami,CAPPUCCINO MEDIO,CAFE CLASSICOS,03/09/2022,1,"R$10,00","R$10,00"
Restaurante Bodogami,AGUA MINERAL C/ GAS AMA 350,BEBIDAS,04/12/2022,2,"R$6,00","R$12,00"
Restaurante Bodogami,CERVEJA MANIACS IPA,BEBIDAS CERVEJAS,23/04/2022,3,"R$12,00","R$36,00"
Restaurante Bodogami,ESSENCIA DE BAUNILHA,BEBIDAS,05/06/2022,1,"R$1,00","R$1,00"
Restaurante Bodogami,GRANDE CHOCOLATE QUENTE EUROPEU,CAFE CLASSICOS,08/11/2022,1,"R$15,00","R$15,00"
Restaurante Bodogami,GREENY SMITH,CAFE AUTORAIS,20/01/2021,2,"R$12,00","R$24,00"
Restaurante Bodogami,REFRIGERANTE DE MATCHA,DRINKS ALCOOLICOS,01/06/2022,1,"R$9,00","R$9,00"
Restaurante Bodogami,CHAI LATTE,CAFE CLASSICOS,17/11/2022,1,"R$12,00","R$12,00"
Restaurante Bodogami,LAVA LAMP,DRINKS NAO ALCOOLICOS,18/01/2023,5,"R$12,00","R$60,00"
Restaurante Bodogami,ESPRESSO,CAFE CLASSICOS,02/02/2023,2,"R$5,00","R$10,00"
Restaurante Bodogami,AGUA MINERAL,BEBIDAS,26/05/2022,6,"R$5,00","R$30,00"
Restaurante Bodogami,BODOGAMI BOWL,DRINKS ALCOOLICOS,18/07/2021,1,"R$25,00","R$25,00"
Restaurante Bodogami,SUCO DE LIMAO,BEBIDAS,06/06/2021,4,"R$9,00","R$36,00"
Restaurante Bodogami,GRANDE CHOCOLATE QUENTE EUROPEU,CAFE CLASSICOS,05/12/2021,1,"R$12,00","R$12,00"
Restaurante Bodogami,ICED CARAMELO MACCHIATO,CAFE AUTORAIS,01/05/2023,7,"R$9,00","R$63,00"
Restaurante Bodogami,REFRIGERANTE DE MATCHA,DRINKS ALCOOLICOS,29/07/2022,4,"R$9,00","R$36,00"
Restaurante Bodogami,FANTA LARANJA LATA 350ML,BEBIDAS REFRIGERANTES,05/05/2023,1,"R$8,00","R$8,00"
Restaurante Bodogami,CHA MATE COM PESSEGO GELADO,BEBIDAS,16/08/2022,2,"R$8,00","R$16,00"
Restaurante Bodogami,APPLE MARTINI,DRINKS ALCOOLICOS,22/10/2022,3,"R$30,00","R$90,00"
Restaurante Bodogami,GRANDE ICED AMERICANO,CAFE CLASSICOS,27/02/2022,1,"R$9,00","R$9,00"
Restaurante Bodogami,FADA INSENSATA,DRINKS ALCOOLICOS,04/11/2022,2,"R$32,00","R$64,00"
Restaurante Bodogami,LATTE MEDIO,CAFE CLASSICOS,01/03/2022,1,"R$10,00","R$10,00"
Restaurante Bodogami,AMERICANO,CAFE CLASSICOS,16/06/2022,1,"R$5,00","R$5,00"
Restaurante Bodogami,COCA COLA LATA DIET 350ML,BEBIDAS,06/10/2021,1,"R$7,00","R$7,00"
Restaurante Bodogami,GRANDE MATCHA LATTE,CAFE CLASSICOS,15/03/2023,2,"R$14,00","R$28,00"
Restaurante Bodogami,LUCKY PEACH,DRINKS ALCOOLICOS,21/02/2021,1,"R$26,00","R$26,00"
Restaurante Bodogami,BORDA DOCE DE LEITE,BEBIDAS,02/07/2022,3,"R$2,00","R$6,00"
Restaurante Bodogami,AGUA MINERAL C/ GAS AMA 350,BEBIDAS,25/05/2022,3,"R$6,00","R$18,00"
Restaurante Bodogami,FRAPPE MOCHA,CAFE CLASSICOS,13/02/2022,1,"R$15,00","R$15,00"
Restaurante Bodogami,AGUA MINERAL,BEBIDAS,04/06/2021,6,"R$5,00","R$30,00"
Restaurante Bodogami,CAIPIRINHA,DRINKS ALCOOLICOS,28/06/2022,1,"R$18,00","R$18,00"
Restaurante Bodogami,GRANDE ICED MOCHA,CAFE CLASSICOS,01/10/2022,4,"R$15,00","R$60,00"
Restaurante Bodogami,H2O LIMAO 500ML,BEBIDAS REFRIGERANTES,23/07/2021,3,"R$8,00","R$24,00"
Restaurante Bodogami,FANTA LARANJA LATA 350ML,BEBIDAS REFRIGERANTES,08/04/2023,4,"R$8,00","R$32,00"
Restaurante Bodogami,REFRIGERANTE DE MATCHA,DRINKS ALCOOLICOS,11/02/2023,4,"R$9,00","R$36,00"
Restaurante Bodogami,ICED CARAMELO MACCHIATO,CAFE AUTORAIS,15/03/2023,2,"R$9,00","R$18,00"
Restaurante Bodogami,CHA VERDE GELADO COM LIMAO,CAFE CLASSICOS,18/07/2021,4,"R$8,00","R$32,00"
Restaurante Bodogami,LAVA LAMP,DRINKS NAO ALCOOLICOS,21/04/2023,9,"R$12,00","R$108,00"
Restaurante Bodogami,ICED TWIX,CAFE CLASSICOS,09/03/2023,4,"R$18,00","R$72,00"
Restaurante Bodogami,AMERICANO,CAFE CLASSICOS,27/01/2022,1,"R$5,00","R$5,00"
Restaurante Bodogami,APPLE MARTINI,DRINKS ALCOOLICOS,27/08/2021,4,"R$20,00","R$80,00"
Restaurante Bodogami,COUVERT LUDICO FDS,EVENTOS,09/04/2022,113,"R$25,00","R$2.825,00"
Restaurante Bodogami,MILK TEA TRADICIONAL,CAFE CLASSICOS,11/01/2023,1,"R$14,00","R$14,00"
Restaurante Bodogami,SUCO DE LARANJA,BEBIDAS,11/11/2022,3,"R$9,00","R$27,00"
Restaurante Bodogami,BUTTERBEER,DRINKS NAO ALCOOLICOS,27/07/2022,3,"R$15,00","R$45,00"
Restaurante Bodogami,TWIX,CAFE AUTORAIS,22/01/2023,2,"R$18,00","R$36,00"
Restaurante Bodogami,MARTINA IPA BLONDINE,BEBIDAS CERVEJAS,18/02/2021,9,"R$18,00","R$162,00"
Restaurante Bodogami,AGUA TONICA,BEBIDAS,08/12/2021,2,"R$7,00","R$14,00"
Restaurante Bodogami,D20,DRINKS ALCOOLICOS,16/09/2021,1,"R$70,00","R$70,00"
Restaurante Bodogami,SAQUE FRESH,DRINKS ALCOOLICOS,21/11/2021,1,"R$20,00","R$20,00"
Restaurante Bodogami,EISENBAHN AMERICAN IPA,BEBIDAS CERVEJAS,16/03/2022,1,"R$12,00","R$12,00"
Restaurante Bodogami,SUCO DE LARANJA,BEBIDAS,26/01/2023,3,"R$12,00","R$36,00"
Restaurante Bodogami,CHOCOLATE GELADO,CAFE CLASSICOS,30/10/2022,2,"R$10,00","R$20,00"
Restaurante Bodogami,ICED CARAMELO MACCHIATO,CAFE AUTORAIS,16/07/2022,1,"R$9,00","R$9,00"
Restaurante Bodogami,CHA MATE COM LIMAO GELADO,BEBIDAS,21/10/2022,3,"R$8,00","R$24,00"
Restaurante Bodogami,REFRIGERANTE DE MATCHA,DRINKS ALCOOLICOS,27/01/2023,5,"R$9,00","R$45,00"
Restaurante Bodogami,CHA MATE NATURAL GELADO,BEBIDAS,12/02/2022,3,"R$7,00","R$21,00"
Restaurante Bodogami,GREENY SMITH,CAFE AUTORAIS,23/11/2022,1,"R$12,00","R$12,00"
Restaurante Bodogami,CERVEJA MANIACS ALOHA,BEBIDAS CERVEJAS,17/02/2022,4,"R$12,00","R$48,00"
Restaurante Bodogami,AMERICANO,CAFE CLASSICOS,01/10/2022,3,"R$5,00","R$15,00"
Restaurante Bodogami,COLD BREW,CAFE CLASSICOS,28/02/2021,2,"R$9,00","R$18,00"
Restaurante Bodogami,SODA ITALIANA CUST,DRINKS NAO ALCOOLICOS,16/07/2021,1,"R$8,00","R$8,00"
Restaurante Bodogami,GIN TONICA,DRINKS ALCOOLICOS,26/06/2022,2,"R$28,00","R$56,00"
Restaurante Bodogami,APPLE MARTINI,DRINKS ALCOOLICOS,26/02/2022,2,"R$25,00","R$50,00"
Restaurante Bodogami,CHA MATE COM PESSEGO GELADO,BEBIDAS,21/02/2023,6,"R$9,00","R$54,00"
Restaurante Bodogami,CHA MATE COM PESSEGO GELADO,BEBIDAS,25/06/2022,3,"R$8,00","R$24,00"
Restaurante Bodogami,SPRITE LATA 350ML,BEBIDAS REFRIGERANTES,28/11/2021,2,"R$7,00","R$14,00"
Restaurante Bodogami,CAIPIRINHA,DRINKS ALCOOLICOS,30/03/2022,1,"R$18,00","R$18,00"
Restaurante Bodogami,BIRU BLONDINE,BEBIDAS CERVEJAS,30/09/2021,2,"R$18,00","R$36,00"
Restaurante Bodogami,APPLE MARTINI,DRINKS ALCOOLICOS,13/05/2022,4,"R$25,00","R$100,00"
Restaurante Bodogami,VIRGIN BODOJITO,DRINKS NAO ALCOOLICOS,18/11/2022,1,"R$15,00","R$15,00"
Restaurante Bodogami,REFRIGERANTE DE MATCHA,DRINKS ALCOOLICOS,25/08/2022,1,"R$9,00","R$9,00"
Restaurante Bodogami,FRAPPE PACOQUINHA,CAFE AUTORAIS,06/08/2022,1,"R$20,00","R$20,00"
Restaurante Bodogami,ICED LATTE,CAFE CLASSICOS,06/07/2022,1,"R$9,00","R$9,00"
Restaurante Bodogami,PINK LEMONADE,DRINKS NAO ALCOOLICOS,14/08/2021,3,"R$7,00","R$21,00"
Restaurante Bodogami,ESSENCIA DE AVELA,BEBIDAS,19/10/2022,1,"R$1,00","R$1,00"
Restaurante Bodogami,HONG KONG,CAFE AUTORAIS,16/04/2023,1,"R$12,00","R$12,00"
Restaurante Bodogami,IRISH COFFEE,DRINKS ALCOOLICOS,30/08/2022,1,"R$26,00","R$26,00"
Restaurante Bodogami,CHA MATE NATURAL GELADO,BEBIDAS,24/08/2022,2,"R$7,00","R$14,00"
Restaurante Bodogami,FRAPPE UNICORNIO,CAFE CLASSICOS,10/06/2021,4,"R$17,00","R$68,00"
Restaurante Bodogami,CHA MATE COM LIMAO GELADO,BEBIDAS,13/04/2021,9,"R$7,00","R$63,00"
Restaurante Bodogami,NEGRONI,DRINKS ALCOOLICOS,06/11/2022,3,"R$32,00","R$96,00"
Restaurante Bodogami,GRANDE LATTE BANOFFEE,CAFE AUTORAIS,03/09/2022,1,"R$21,00","R$21,00"
Restaurante Bodogami,BIRU BLONDINE,BEBIDAS CERVEJAS,27/06/2021,3,"R$18,00","R$54,00"
Restaurante Bodogami,GRANDE ICED MOCHA,CAFE CLASSICOS,26/06/2022,4,"R$15,00","R$60,00"
Restaurante Bodogami,GRANDE AMERICANO,CAFE CLASSICOS,29/04/2023,1,"R$9,00","R$9,00"
Restaurante Bodogami,MILK TEA TRADICIONAL,CAFE CLASSICOS,08/03/2023,4,"R$15,00","R$60,00"
Restaurante Bodogami,ICED CARAMELO MACCHIATO,CAFE AUTORAIS,30/11/2022,3,"R$9,00","R$27,00"
Restaurante Bodogami,H2O LIMAO 500ML,BEBIDAS REFRIGERANTES,15/08/2021,2,"R$8,00","R$16,00"
Restaurante Bodogami,ESPRESSO,CAFE CLASSICOS,13/04/2022,4,"R$5,00","R$20,00"
Restaurante Bodogami,GRANDE LATTE,CAFE CLASSICOS,26/03/2022,1,"R$13,00","R$13,00"
Restaurante Bodogami,COCA COLA LATA DIET 350ML,BEBIDAS,15/02/2023,2,"R$8,00","R$16,00"
Restaurante Bodogami,SPACE CHAI,DRINKS NAO ALCOOLICOS,01/03/2023,2,"R$15,00","R$30,00"
Restaurante Bodogami,APPLE MARTINI,DRINKS ALCOOLICOS,25/03/2023,1,"R$30,00","R$30,00"
Restaurante Bodogami,VIUVA NEGRA SCARLETTI,DRINKS ALCOOLICOS,10/05/2022,2,"R$26,00","R$52,00"
Restaurante Bodogami,AGUA MINERAL,BEBIDAS,11/03/2023,24,"R$6,00","R$144,00"
Restaurante Bodogami,FRAPPE MOCHA,CAFE CLASSICOS,25/03/2023,4,"R$18,00","R$72,00"
Restaurante Bodogami,MELON FRESH,DRINKS NAO ALCOOLICOS,27/08/2021,2,"R$15,00","R$30,00"
Restaurante Bodogami,COUVERT LUDICO SEMANA,EVENTOS,23/06/2022,10,"R$20,00","R$200,00"
Restaurante Bodogami,CERVEJA BROOKLYN EAST IPA,BEBIDAS CERVEJAS,05/04/2022,1,"R$18,00","R$18,00"
Restaurante Bodogami,ESPRESSO,CAFE CLASSICOS,13/07/2021,2,"R$5,00","R$10,00"
Restaurante Bodogami,AGUA MINERAL,BEBIDAS,06/11/2021,25,"R$5,00","R$125,00"
Restaurante Bodogami,GUARANA ANTARCTICA 350ML,BEBIDAS REFRIGERANTES,17/07/2022,5,"R$7,00","R$35,00"
Restaurante Bodogami,CHOPP,BEBIDAS CERVEJAS,24/01/2023,10,"R$16,00","R$160,00"
Restaurante Bodogami,PIRATE GROG,DRINKS ALCOOLICOS,27/02/2021,1,"R$22,00","R$22,00"
Restaurante Bodogami,AGUA MINERAL,BEBIDAS,15/11/2021,5,"R$5,00","R$25,00"
Restaurante Bodogami,SUCO DE LARANJA,BEBIDAS,08/01/2022,16,"R$9,00","R$144,00"
Restaurante Bodogami,ENERGETICO,BEBIDAS REFRIGERANTES,14/07/2022,1,"R$14,00","R$14,00"
Restaurante Bodogami,BEIJO DE LINGUA,DRINKS ALCOOLICOS,28/03/2023,1,"R$23,00","R$23,00"
Restaurante Bodogami,ESPRESSO DUPLO,CAFE CLASSICOS,25/02/2023,3,"R$9,00","R$27,00"
Restaurante Bodogami,FRAPPE MOCHA,CAFE CLASSICOS,27/10/2022,1,"R$17,00","R$17,00"
Restaurante Bodogami,ICED LATTE,CAFE CLASSICOS,04/02/2023,1,"R$13,00","R$13,00"
