Loja,Produto,Categoria,Data,Quantidade,Valor Unitário Médio,Total
Restaurante Bodogami,AGUA MINERAL C/ GAS AMA 350,BEBIDAS,03/12/2021,4,"R$6,00","R$24,00"
Restaurante Bodogami,GUARANA ANTARCTICA 350ML,BEBIDAS REFRIGERANTES,04/10/2022,3,"R$7,00","R$21,00"
Restaurante Bodogami,FADA INSENSATA,DRINKS ALCOOLICOS,25/02/2022,1,"R$28,00","R$28,00"
Restaurante Bodogami,FADA INSENSATA,DRINKS ALCOOLICOS,06/05/2022,3,"R$32,00","R$96,00"
Restaurante Bodogami,JAIPUR,CAFE AUTORAIS,25/09/2021,2,"R$12,00","R$24,00"
Restaurante Bodogami,LATTE MEDIO,CAFE CLASSICOS,19/02/2023,2,"R$9,00","R$18,00"
Restaurante Bodogami,ESPRESSO,CAFE CLASSICOS,26/02/2022,6,"R$5,00","R$30,00"
Restaurante Bodogami,GREENY SMITH,CAFE AUTORAIS,21/12/2021,3,"R$12,00","R$36,00"
Restaurante Bodogami,SODA ITALIANA CUST,DRINKS NAO ALCOOLICOS,02/03/2023,5,"R$12,00","R$60,00"
Restaurante Bodogami,CHA MATE COM PESSEGO GELADO,BEBIDAS,10/05/2022,1,"R$8,00","R$8,00"
Restaurante Bodogami,VIRGIN BODOJITO,DRINKS NAO ALCOOLICOS,01/08/2021,1,"R$15,00","R$15,00"
Restaurante Bodogami,ORANGE COFFEE,CAFE AUTORAIS,05/08/2022,2,"R$14,00","R$28,00"
Restaurante Bodogami,FRAPPE OREO PANDA,CAFE AUTORAIS,29/09/2021,1,"R$17,00","R$17,00"
Restaurante Bodogami,FRAPPE CARAMELO,CAFE CLASSICOS,25/02/2021,2,"R$15,00","R$30,00"
Restaurante Bodogami,ESPRESSO,CAFE CLASSICOS,21/07/2022,1,"R$5,00","R$5,00"
Restaurante Bodogami,BODOJITO,DRINKS ALCOOLICOS,17/06/2022,2,"R$20,00","R$40,00"
Restaurante Bodogami,CERVEJA BROOKLYN EAST IPA,BEBIDAS CERVEJAS,03/12/2021,4,"R$18,00","R$72,00"
