Produto,Categoria,Data,Quantidade,PU,FT,Subcategoria,Custo
VEG BURGUER KARE,ALMOCO,11/03/2023,1,"32,00","32,00",KARE,"4,48"
SHOYU LAMEN,ALMOCO,14/05/2023,8,"44,00","352,00",LAMEN,"6,18"
GUIOZA SUINO PUERCO RICO,PARA COMPARTILHAR,10/04/2022,4,"20,00","80,00",PARA COMPARTILHAR,"4,11"
BURGUER DONBURI,ALMOCO,11/02/2023,3,"34,00","102,00",DONBURI,"8,84"
TANTANMEN LAMEN,ALMOCO,04/02/2023,2,"44,00","88,00",LAMEN,"7,13"
CUBOS FRANGO MUNCHICKEN BITES,PARA COMPARTILHAR,15/09/2021,7,"30,00","210,00",PARA COMPARTILHAR,"6,51"
KATSU SANDO,ALL DAY,01/08/2021,3,"26,00","78,00",LANCHES,"5,5"
MAIONESE EXTRA,ALMOCO,09/11/2021,1,"5,00","5,00",ADICIONAIS,"0,48"
GOHAN EXTRA,ALMOCO,29/08/2021,4,"5,00","20,00",ADICIONAIS,"0,8"
MINI BURGUER CORONEL MUSTARD,PARA COMPARTILHAR,12/06/2021,11,"28,00","308,00",PARA COMPARTILHAR,"5,47"
COGUMELOS DONBURI,ALMOCO,30/08/2022,2,"32,00","64,00",DONBURI,"5,26"
BATATAS FRITAS JUMANJI,PARA COMPARTILHAR,21/10/2021,7,"28,00","196,00",PARA COMPARTILHAR,"7,31"
TAMAGO SANDO,ALL DAY,24/02/2023,1,"22,00","22,00",LANCHES,"4,96"
TAMAGO SANDO,ALL DAY,06/05/2022,1,"20,00","20,00",LANCHES,"4,96"
GUIOZA SUINO PUERCO RICO,PARA COMPARTILHAR,03/04/2022,3,"20,00","60,00",PARA COMPARTILHAR,"4,11"
GUIOZA SUINO PUERCO RICO,PARA COMPARTILHAR,26/08/2021,4,"15,00","60,00",PARA COMPARTILHAR,"4,11"
COMBO MINIBURG FRITAS CHA,ALL DAY,24/08/2022,3,"30,00","90,00",ESPECIAL/COMBO,"10,68"
BATATAS FRITAS JUMANJI,PARA COMPARTILHAR,08/11/2022,1,"32,00","32,00",PARA COMPARTILHAR,"7,31"
TANTANMEN LAMEN,ALMOCO,26/01/2023,1,"44,00","44,00",LAMEN,"7,13"
SURPRESAS DO AMOR,SOBREMESA,06/03/2021,1,"18,00","18,00",SOBREMESA,"4,51"
CHEESECAKE DE MANGA,SOBREMESA,12/01/2022,1,"16,00","16,00",SOBREMESA,"3,29"
MISTO QUENTE,ALL DAY,24/11/2022,1,"20,00","20,00",LANCHES,"6,29"
TOAST AVOCADO,ALL DAY,08/01/2022,1,"19,00","19,00",LANCHES,"6,33"
GOHAN EXTRA,ALMOCO,30/09/2022,1,"5,00","5,00",ADICIONAIS,"0,8"
CHICKENKATSU KARE,ALMOCO,16/12/2022,1,"32,00","32,00",KARE,"4,34"
TONKATSU BENTO,ALMOCO,28/08/2022,2,"30,00","60,00",BENTO,"5,53"
DUO ONIGUIRI SIMPLES,PARA COMPARTILHAR,09/04/2023,4,"12,00","48,00",PARA COMPARTILHAR,"2,71"
TONKATSU BENTO,ALMOCO,19/02/2023,3,"32,00","96,00",BENTO,"5,53"
CHICKEN KATSU DONBURI,ALMOCO,28/04/2023,1,"34,00","34,00",DONBURI,"5,24"
KARAAGUE BENTO,ALMOCO,30/06/2022,1,"30,00","30,00",BENTO,"6,54"
COUVE FLOR EMPANADA,PARA COMPARTILHAR,03/09/2022,1,"32,00","32,00",PARA COMPARTILHAR,"5,65"
TONKATSU BENTO,ALMOCO,01/04/2022,1,"30,00","30,00",BENTO,"5,53"
DANGO,SOBREMESA,27/08/2021,8,"9,00","72,00",SOBREMESA,"1,56"
FRANGO TERIYAKI DONBURI,ALMOCO,18/01/2022,3,"32,00","96,00",DONBURI,"6,08"
MOTI DE CHOCOLATE E MORANGO,SOBREMESA,20/01/2021,3,"12,00","36,00",SOBREMESA,"2,17"
GELATINA DE CAFE,SOBREMESA,15/05/2022,1,"16,00","16,00",SOBREMESA,"3,08"
TONKATSU BENTO,ALMOCO,22/06/2022,3,"30,00","90,00",BENTO,"5,53"
QUEIJO QUENTE,ALL DAY,13/02/2022,1,"13,00","13,00",LANCHES,"4,05"
TOAST COGUMELOS,ALL DAY,14/05/2022,3,"19,00","57,00",LANCHES,"2,71"
OVO COZIDO EXTRA,ALMOCO,11/03/2022,2,"4,00","8,00",ADICIONAIS,"0,55"
VEGAN DONBURI,ALMOCO,26/01/2021,2,"28,00","56,00",DONBURI,"6,02"
BATATAS FRITAS JUMANJI,PARA COMPARTILHAR,23/06/2022,1,"32,00","32,00",PARA COMPARTILHAR,"7,31"
DANGO,SOBREMESA,20/04/2021,6,"9,00","54,00",SOBREMESA,"1,56"
GUIOZA VEGETAIS AGRICOLA,PARA COMPARTILHAR,29/04/2023,2,"20,00","40,00",PARA COMPARTILHAR,"3,31"
GUIOZA VEGETAIS AGRICOLA,PARA COMPARTILHAR,12/05/2022,1,"20,00","20,00",PARA COMPARTILHAR,"3,31"
FRANGO APIMENTADO SRTA SCARLETT,PARA COMPARTILHAR,15/06/2022,4,"34,00","136,00",PARA COMPARTILHAR,"6,67"
GOHAN EXTRA,ALMOCO,20/04/2022,5,"5,00","25,00",ADICIONAIS,"0,8"
CREPE JOHN LEMON,SOBREMESA,03/07/2022,9,"17,00","153,00",SOBREMESA,"4,87"
TANTANMEN LAMEN,ALMOCO,29/03/2023,5,"44,00","220,00",LAMEN,"7,13"
DUO ONIGUIRI SIMPLES,PARA COMPARTILHAR,21/03/2023,3,"12,00","36,00",PARA COMPARTILHAR,"2,71"
DUO ONIGUIRI COM FURIKAKE,PARA COMPARTILHAR,03/12/2022,3,"14,00","42,00",PARA COMPARTILHAR,"3,46"
VEG BURGUER DONBURI,ALMOCO,10/08/2022,4,"32,00","128,00",DONBURI,"5,03"
FRANGO TERIYAKI DONBURI,ALMOCO,10/08/2022,4,"32,00","128,00",DONBURI,"6,08"
CHICKEN KATSU DONBURI,ALMOCO,03/02/2022,5,"32,00","160,00",DONBURI,"5,24"
TACO VEGETAIS,PARA COMPARTILHAR,13/08/2022,1,"21,00","21,00",PARA COMPARTILHAR,"2,8"
FRANGO APIMENTADO SRTA SCARLETT,PARA COMPARTILHAR,29/05/2021,6,"28,00","168,00",PARA COMPARTILHAR,"6,67"
PAO COM REQUEIJAO,ALL DAY,14/04/2023,3,"12,00","36,00",LANCHES,"4,01"
CHICKENKATSU BENTO,ALMOCO,24/10/2021,1,"28,00","28,00",BENTO,"5,24"
TOAST COGUMELOS,ALL DAY,09/12/2021,3,"19,00","57,00",LANCHES,"2,71"
CREPE JOHN LEMON,SOBREMESA,19/06/2022,3,"17,00","51,00",SOBREMESA,"4,87"
VEGGIE SANDO,ALL DAY,30/03/2023,2,"30,00","60,00",LANCHES,"6,21"
DUO ONIGUIRI BARRIGA,PARA COMPARTILHAR,24/03/2023,2,"16,00","32,00",PARA COMPARTILHAR,"3,25"
MOTI DE CHOCOLATE E MORANGO,SOBREMESA,22/06/2022,2,"12,00","24,00",SOBREMESA,"2,17"
TOAST TERIYAKI,ALL DAY,10/08/2022,3,"19,00","57,00",LANCHES,"3,44"
FRANGO TERIYAKI BENTO,ALMOCO,24/08/2021,3,"28,00","84,00",BENTO,"6,8"
MOLHO GORGONZOLA EXTRA,ADICIONAIS,23/07/2022,1,"5,00","5,00",ADICIONAIS,"1,2"
BATATAS FRITAS JUMANJI,PARA COMPARTILHAR,06/04/2021,2,"25,00","50,00",PARA COMPARTILHAR,"7,31"
VEGGIE SANDO,ALL DAY,18/12/2021,5,"25,00","125,00",LANCHES,"6,21"
VEGAN BENTO,ALMOCO,05/08/2022,3,"30,00","90,00",BENTO,"6,02"
GUIOZA SUINO PUERCO RICO,PARA COMPARTILHAR,13/08/2022,7,"20,00","140,00",PARA COMPARTILHAR,"4,11"
KOROKKE TERIYAKI,PARA COMPARTILHAR,26/03/2023,13,"33,00","429,00",PARA COMPARTILHAR,"3,49"
KARAAGUE BENTO,ALMOCO,30/09/2021,2,"28,00","56,00",BENTO,"6,54"
COMBO SANDO FRITAS CHA,ALL DAY,21/06/2022,2,"28,00","56,00",ESPECIAL/COMBO,"10,97"
DANGO,SOBREMESA,12/02/2021,4,"9,00","36,00",SOBREMESA,"1,56"
DANGO,SOBREMESA,10/01/2023,1,"9,00","9,00",SOBREMESA,"1,56"
KATSU DONBURI,ALMOCO,13/11/2022,5,"34,00","170,00",DONBURI,"5,53"
OVO COZIDO EXTRA,ADICIONAIS,21/03/2023,1,"4,00","4,00",ADICIONAIS,"0,55"
WANPAKU SANDO,ALL DAY,18/08/2021,2,"22,00","44,00",LANCHES,"6,87"
MITARASHI DANGO,SOBREMESA,06/02/2022,1,"9,00","9,00",SOBREMESA,"2,0"
GUIOZA SUINO PUERCO RICO,PARA COMPARTILHAR,18/05/2022,1,"20,00","20,00",PARA COMPARTILHAR,"4,11"
CHICKENKATSU KARE,ALMOCO,22/07/2022,3,"32,00","96,00",KARE,"4,34"
TAPIOCA JENGADINHO,PARA COMPARTILHAR,03/09/2021,4,"23,00","92,00",PARA COMPARTILHAR,"7,49"
COMBO MINIBURG FRITAS CHA,ALL DAY,13/05/2022,8,"30,00","240,00",ESPECIAL/COMBO,"10,68"
MINI BURGUER CORONEL MUSTARD,PARA COMPARTILHAR,24/03/2022,2,"33,00","66,00",PARA COMPARTILHAR,"5,47"
KATSU SANDO,ALL DAY,29/10/2022,2,"32,00","64,00",LANCHES,"5,5"
TOAST AVOCADO,ALL DAY,25/06/2022,1,"19,00","19,00",LANCHES,"6,33"
MINI BURGUER CORONEL MUSTARD,PARA COMPARTILHAR,20/02/2021,13,"28,00","364,00",PARA COMPARTILHAR,"5,47"
BAURU,ALL DAY,18/08/2022,3,"17,00","51,00",LANCHES,"6,98"
TOAST TERIYAKI,ALL DAY,07/10/2022,2,"19,00","38,00",LANCHES,"3,44"
VEGAN BENTO,ALMOCO,24/07/2021,1,"28,00","28,00",BENTO,"6,02"
MOTI BRANCO COM UVA,SOBREMESA,28/06/2022,1,"15,00","15,00",SOBREMESA,"6,06"
CHICKENKATSU SANDO,ALL DAY,07/01/2021,3,"24,00","72,00",LANCHES,"5,29"
MINI BURGUER CORONEL MUSTARD,PARA COMPARTILHAR,28/03/2023,6,"33,00","198,00",PARA COMPARTILHAR,"5,47"
DONBURI IFOOD,ALMOCO,27/03/2022,1,"34,00","34,00",DONBURI,"6,2"
TONKATSU KARE,ALMOCO,03/05/2023,1,"34,00","34,00",KARE,"4,44"
VEGGIE SANDO,ALL DAY,12/03/2022,3,"25,00","75,00",LANCHES,"6,21"
DUO ONIGUIRI BARRIGA,PARA COMPARTILHAR,25/01/2023,3,"16,00","48,00",PARA COMPARTILHAR,"3,25"
DUO ONIGUIRI COGUMELOS,PARA COMPARTILHAR,28/02/2023,3,"14,00","42,00",PARA COMPARTILHAR,"2,85"
KATSU DONBURI,ALMOCO,16/03/2022,1,"32,00","32,00",DONBURI,"5,53"
CHEESECAKE DE MANGA,SOBREMESA,13/11/2022,1,"16,00","16,00",SOBREMESA,"3,29"
TAMAGO SANDO,ALL DAY,18/03/2023,1,"22,00","22,00",LANCHES,"4,96"
CHICKEN KATSU DONBURI,ALMOCO,21/11/2021,1,"32,00","32,00",DONBURI,"5,24"
VEG BURGUER DONBURI,ALMOCO,25/04/2023,1,"34,00","34,00",DONBURI,"5,03"
SHOYU LAMEN,ALMOCO,05/05/2023,5,"44,00","220,00",LAMEN,"6,18"
TACO VEGETAIS,PARA COMPARTILHAR,27/04/2022,1,"21,00","21,00",PARA COMPARTILHAR,"2,8"
FRANGO TERIYAKI BENTO,ALMOCO,28/04/2023,1,"32,00","32,00",BENTO,"6,8"
PAO COM MANTEIGA,ALL DAY,15/10/2022,1,"6,00","6,00",LANCHES,"0,86"
VEG BURGUER DONBURI,ALMOCO,04/08/2021,1,"28,00","28,00",DONBURI,"5,03"
BAURU,ALL DAY,21/06/2022,3,"17,00","51,00",LANCHES,"6,98"
KARAAGUE KARE,ALMOCO,09/10/2021,6,"32,00","192,00",KARE,"4,97"
GELATINA DE CAFE,SOBREMESA,17/01/2023,2,"16,00","32,00",SOBREMESA,"3,08"
VEG BURGUER BENTO,ALMOCO,16/07/2022,1,"30,00","30,00",BENTO,"5,03"
MINI BURGUER CORONEL MUSTARD,PARA COMPARTILHAR,17/08/2021,3,"28,00","84,00",PARA COMPARTILHAR,"5,47"
TAPIOCA JENGADINHO,PARA COMPARTILHAR,26/03/2022,8,"28,00","224,00",PARA COMPARTILHAR,"7,49"
MINI BURGUER CORONEL MUSTARD,PARA COMPARTILHAR,26/10/2021,4,"28,00","112,00",PARA COMPARTILHAR,"5,47"
FRANGO TERIYAKI DONBURI,ALMOCO,28/02/2021,2,"28,00","56,00",DONBURI,"6,08"
CHICKENKATSU SANDO,ALL DAY,20/08/2021,3,"24,00","72,00",LANCHES,"5,29"
DUO ONIGUIRI COM FURIKAKE,PARA COMPARTILHAR,30/03/2023,3,"14,00","42,00",PARA COMPARTILHAR,"3,46"
MINI VEG BURGUER REVERENDO SR GREEN,PARA COMPARTILHAR,09/02/2022,2,"27,00","54,00",PARA COMPARTILHAR,"5,58"
COMBO VEGMINIBURG FRITAS CHA,ALL DAY,11/04/2023,1,"32,00","32,00",ESPECIAL/COMBO,"9,68"
MAIONESE EXTRA,ALMOCO,26/07/2022,1,"5,00","5,00",ADICIONAIS,"0,48"
FRANGO TERIYAKI BENTO,ALMOCO,15/12/2021,2,"30,00","60,00",BENTO,"6,8"
TOAST TERIYAKI,ALL DAY,18/02/2023,3,"19,00","57,00",LANCHES,"3,44"
FRANGO APIMENTADO SRTA SCARLETT,PARA COMPARTILHAR,12/04/2022,2,"32,00","64,00",PARA COMPARTILHAR,"6,67"
BATATA CHEDDAR E BACON,PARA COMPARTILHAR,19/03/2022,15,"32,00","480,00",PARA COMPARTILHAR,"6,91"
MAIONESE EXTRA,ALMOCO,16/06/2022,1,"5,00","5,00",ADICIONAIS,"0,48"
DANGO,SOBREMESA,17/01/2023,8,"9,00","72,00",SOBREMESA,"1,56"
TOAST TERIYAKI,ALL DAY,28/09/2022,2,"19,00","38,00",LANCHES,"3,44"
DUO ONIGUIRI SIMPLES,PARA COMPARTILHAR,12/12/2022,1,"12,00","12,00",PARA COMPARTILHAR,"2,71"
CHICKENKATSU KARE,ALMOCO,09/03/2023,4,"32,00","128,00",KARE,"4,34"
TOAST COGUMELOS,ALL DAY,31/07/2022,4,"19,00","76,00",LANCHES,"2,71"
CHICKEN KATSU DONBURI,ALMOCO,20/12/2022,3,"34,00","102,00",DONBURI,"5,24"
CREPE RED7,SOBREMESA,24/07/2022,1,"26,00","26,00",SOBREMESA,"7,94"
COMBO BENTO CHA,ALL DAY,17/07/2022,1,"32,00","32,00",ESPECIAL/COMBO,"6,67"
PAO COM REQUEIJAO,ALL DAY,05/03/2023,2,"12,00","24,00",LANCHES,"4,01"
VEG BURGUER DONBURI,ALMOCO,28/08/2022,3,"32,00","96,00",DONBURI,"5,03"
TACO SUINO,PARA COMPARTILHAR,01/10/2022,3,"21,00","63,00",PARA COMPARTILHAR,"2,63"
MAIONESE GOSHUJANG,ALMOCO,25/02/2023,7,"5,00","35,00",ADICIONAIS,"1,2"
CHICKENKATSU SANDO,ALL DAY,09/12/2022,10,"31,20","312,00",LANCHES,"5,29"
GOHAN EXTRA,ALMOCO,04/05/2023,1,"5,00","5,00",ADICIONAIS,"0,8"
TONKATSU KARE,ALMOCO,01/06/2022,3,"34,00","102,00",KARE,"4,44"
BURGUER BENTO,ALMOCO,20/04/2022,1,"30,00","30,00",BENTO,"8,84"
GELATINA DE CAFE,SOBREMESA,01/03/2023,2,"16,00","32,00",SOBREMESA,"3,08"
CREPE RED7,SOBREMESA,23/02/2022,3,"26,00","78,00",SOBREMESA,"7,94"
VEG BURGUER BENTO,ALMOCO,10/12/2022,1,"32,00","32,00",BENTO,"5,03"
FRANGO APIMENTADO SRTA SCARLETT,PARA COMPARTILHAR,30/08/2022,5,"34,00","170,00",PARA COMPARTILHAR,"6,67"
COGUMELOS DONBURI,ALMOCO,27/07/2022,1,"32,00","32,00",DONBURI,"5,26"
VEGAN BENTO,ALMOCO,18/03/2023,2,"30,00","60,00",BENTO,"6,02"
PEPINO EXTRA,ADICIONAIS,21/08/2021,1,"1,00","1,00",ADICIONAIS,"0,3"
MINI BURGUER CORONEL MUSTARD,PARA COMPARTILHAR,01/09/2022,3,"33,00","99,00",PARA COMPARTILHAR,"5,47"
CREPE RED7,SOBREMESA,26/06/2022,1,"26,00","26,00",SOBREMESA,"7,94"
BAURU,ALL DAY,15/05/2022,8,"17,00","136,00",LANCHES,"6,98"
VEG BURGUER BENTO,ALMOCO,27/08/2021,1,"28,00","28,00",BENTO,"5,03"
CREPE RED7,SOBREMESA,07/04/2023,3,"26,00","78,00",SOBREMESA,"7,94"
FRANGO TERIYAKI BENTO,ALMOCO,11/02/2022,1,"30,00","30,00",BENTO,"6,8"
MINI VEG BURGUER REVERENDO SR GREEN,PARA COMPARTILHAR,07/01/2023,2,"30,00","60,00",PARA COMPARTILHAR,"5,58"
MAIONESE EXTRA,ALMOCO,18/10/2022,2,"5,00","10,00",ADICIONAIS,"0,48"
CHICKENKATSU BENTO,ALMOCO,09/06/2021,1,"28,00","28,00",BENTO,"5,24"
MITARASHI DANGO,SOBREMESA,27/05/2021,1,"9,00","9,00",SOBREMESA,"2,0"
KARAAGUE KARE,ALMOCO,07/06/2022,3,"32,00","96,00",KARE,"4,97"
MAIONESE DE MATCHA,ALMOCO,30/04/2023,1,"5,00","5,00",ADICIONAIS,"0,74"
TAPIOCA JENGADINHO,PARA COMPARTILHAR,23/04/2022,14,"28,00","392,00",PARA COMPARTILHAR,"7,49"
FRANGO APIMENTADO SRTA SCARLETT,PARA COMPARTILHAR,20/02/2023,13,"34,00","442,00",PARA COMPARTILHAR,"6,67"
CHICKENKATSU BENTO,ALMOCO,12/05/2023,1,"32,00","32,00",BENTO,"5,24"
KATSU SANDO,ALL DAY,29/06/2022,1,"30,00","30,00",LANCHES,"5,5"
PEPINO EXTRA,ADICIONAIS,03/07/2021,3,"1,00","3,00",ADICIONAIS,"0,3"
DONBURI IFOOD,ALMOCO,15/09/2021,1,"34,00","34,00",DONBURI,"6,2"
CREPE RED7,SOBREMESA,22/02/2022,2,"26,00","52,00",SOBREMESA,"7,94"
KATSU DONBURI,ALMOCO,19/03/2022,7,"32,00","224,00",DONBURI,"5,53"
TONKATSU BENTO,ALMOCO,27/11/2022,1,"32,00","32,00",BENTO,"5,53"
MINI BURGUER CORONEL MUSTARD,PARA COMPARTILHAR,26/11/2022,17,"33,00","561,00",PARA COMPARTILHAR,"5,47"
FRANGO APIMENTADO SRTA SCARLETT,PARA COMPARTILHAR,19/06/2021,8,"28,00","224,00",PARA COMPARTILHAR,"6,67"
TONKATSU KARE,ALMOCO,16/04/2023,6,"34,00","204,00",KARE,"4,44"
CHICKEN KATSU DONBURI,ALMOCO,07/08/2022,4,"32,00","128,00",DONBURI,"5,24"
COGUMELOS DONBURI,ALMOCO,05/03/2023,5,"34,00","170,00",DONBURI,"5,26"
DUO ONIGUIRI SIMPLES,PARA COMPARTILHAR,09/10/2022,3,"12,00","36,00",PARA COMPARTILHAR,"2,71"
GUIOZA VEGETAIS AGRICOLA,PARA COMPARTILHAR,26/03/2022,3,"20,00","60,00",PARA COMPARTILHAR,"3,31"
BATATA CHEDDAR E BACON,PARA COMPARTILHAR,03/09/2022,4,"32,00","128,00",PARA COMPARTILHAR,"6,91"
MOTI DE CHOCOLATE E MORANGO,SOBREMESA,18/03/2023,9,"12,22","110,00",SOBREMESA,"2,17"
CUBOS FRANGO MUNCHICKEN BITES,PARA COMPARTILHAR,30/09/2021,2,"30,00","60,00",PARA COMPARTILHAR,"6,51"
VEG BURGUER DONBURI,ALMOCO,29/08/2021,3,"28,00","84,00",DONBURI,"5,03"
VEG BURGUER DONBURI,ALMOCO,14/04/2022,3,"32,00","96,00",DONBURI,"5,03"
CREPE OUTONO,SOBREMESA,06/05/2021,1,"15,00","15,00",SOBREMESA,"4,0"
TAPIOCA JENGADINHO,PARA COMPARTILHAR,10/07/2022,7,"32,00","224,00",PARA COMPARTILHAR,"7,49"
GOHAN EXTRA,ALMOCO,08/04/2022,3,"5,00","15,00",ADICIONAIS,"0,8"
COMBO BENTO CHA,ALL DAY,11/03/2023,2,"32,00","64,00",ESPECIAL/COMBO,"6,67"
KATSU SANDO,ALL DAY,28/08/2021,1,"26,00","26,00",LANCHES,"5,5"
PANNACOTA DE MATCHA,SOBREMESA,26/03/2022,1,"14,00","14,00",SOBREMESA,"0,99"
TAPIOCA JENGADINHO,PARA COMPARTILHAR,27/10/2021,3,"28,00","84,00",PARA COMPARTILHAR,"7,49"
CREPE RED7,SOBREMESA,03/06/2022,1,"26,00","26,00",SOBREMESA,"7,94"
COGUMELOS BENTO,ALMOCO,27/08/2021,1,"28,00","28,00",BENTO,"5,26"
CUBOS FRANGO MUNCHICKEN BITES,PARA COMPARTILHAR,22/01/2022,6,"30,00","180,00",PARA COMPARTILHAR,"6,51"
TONKATSU KARE,ALMOCO,26/11/2022,4,"34,00","136,00",KARE,"4,44"
BURGUER DONBURI,ALMOCO,08/09/2021,2,"30,00","60,00",DONBURI,"8,84"
CREPE RED7,SOBREMESA,02/04/2022,5,"26,00","130,00",SOBREMESA,"7,94"
CHOCORETO,SOBREMESA,25/04/2021,3,"15,00","45,00",SOBREMESA,"2,63"
GELATINA DE CAFE,SOBREMESA,18/03/2023,2,"16,00","32,00",SOBREMESA,"3,08"
TOAST AVOCADO,ALL DAY,25/02/2021,1,"19,00","19,00",LANCHES,"6,33"
GELATINA DE CAFE,SOBREMESA,14/02/2021,1,"16,00","16,00",SOBREMESA,"3,08"
OVO COZIDO EXTRA,ALMOCO,16/01/2022,1,"4,00","4,00",ADICIONAIS,"0,55"
TOAST AVOCADO,ALL DAY,02/04/2022,1,"19,00","19,00",LANCHES,"6,33"
DUO ONIGUIRI BARRIGA,PARA COMPARTILHAR,04/02/2023,3,"16,00","48,00",PARA COMPARTILHAR,"3,25"
TAPIOCA JENGADINHO,PARA COMPARTILHAR,29/01/2022,8,"28,00","224,00",PARA COMPARTILHAR,"7,49"
VEG BURGUER DONBURI,ALMOCO,21/05/2021,2,"28,00","56,00",DONBURI,"5,03"
TAPIOCA JENGADINHO,PARA COMPARTILHAR,18/05/2022,5,"32,00","160,00",PARA COMPARTILHAR,"7,49"
TOAST TERIYAKI,ALL DAY,16/04/2022,2,"19,00","38,00",LANCHES,"3,44"
KOROKKE TERIYAKI,PARA COMPARTILHAR,29/04/2023,10,"33,00","330,00",PARA COMPARTILHAR,"3,49"
BATATA CHEDDAR E BACON,PARA COMPARTILHAR,29/03/2023,2,"34,00","68,00",PARA COMPARTILHAR,"6,91"
BATATA CHEDDAR E BACON,PARA COMPARTILHAR,19/06/2022,2,"32,00","64,00",PARA COMPARTILHAR,"6,91"
SURPRESAS DO AMOR,SOBREMESA,26/02/2021,2,"18,00","36,00",SOBREMESA,"4,51"
KARAAGUE KARE,ALMOCO,13/07/2022,3,"32,00","96,00",KARE,"4,97"
KATSU DONBURI,ALMOCO,05/09/2022,1,"32,00","32,00",DONBURI,"5,53"
GOHAN EXTRA,ALMOCO,29/05/2022,2,"5,00","10,00",ADICIONAIS,"0,8"
TEMPURA,PARA COMPARTILHAR,27/11/2022,3,"28,00","84,00",PARA COMPARTILHAR,"5,79"
WANPAKU SANDO,ALL DAY,29/10/2021,2,"24,00","48,00",LANCHES,"6,87"
COMBO MINIBURG FRITAS CHA,ALL DAY,13/04/2022,1,"30,00","30,00",ESPECIAL/COMBO,"10,68"
BENTO CLASSICO,ALMOCO,28/10/2021,1,"28,00","28,00",BENTO,"6,03"
TAPIOCA JENGADINHO,PARA COMPARTILHAR,28/08/2022,1,"32,00","32,00",PARA COMPARTILHAR,"7,49"
DANGO,SOBREMESA,22/04/2021,4,"9,00","36,00",SOBREMESA,"1,56"
WANPAKU SANDO,ALL DAY,22/01/2022,1,"26,00","26,00",LANCHES,"6,87"
PANNACOTA DE MATCHA,SOBREMESA,28/08/2021,1,"14,00","14,00",SOBREMESA,"0,99"
CHICKENKATSU SANDO,ALL DAY,11/08/2022,2,"30,00","60,00",LANCHES,"5,29"
CHICKEN KATSU DONBURI,ALMOCO,01/05/2022,7,"32,00","224,00",DONBURI,"5,24"
KARAAGUE KARE,ALMOCO,29/10/2022,3,"32,00","96,00",KARE,"4,97"
FRANGO TERIYAKI BENTO,ALMOCO,08/09/2021,2,"28,00","56,00",BENTO,"6,8"
TAPIOCA JENGADINHO,PARA COMPARTILHAR,30/09/2021,3,"28,00","84,00",PARA COMPARTILHAR,"7,49"
FRANGO APIMENTADO SRTA SCARLETT,PARA COMPARTILHAR,09/04/2023,4,"34,00","136,00",PARA COMPARTILHAR,"6,67"
QUEIJO QUENTE,ALL DAY,10/08/2022,1,"16,00","16,00",LANCHES,"4,05"
PANNACOTA DE MATCHA,SOBREMESA,27/02/2022,2,"14,00","28,00",SOBREMESA,"0,99"
BODOCAKE,SOBREMESA,21/04/2023,7,"32,00","224,00",SOBREMESA,"5,96"
KATSU SANDO,ALL DAY,12/03/2023,2,"32,00","64,00",LANCHES,"5,5"
COMBO SANDO FRITAS CHA,ALL DAY,22/05/2021,1,"28,00","28,00",ESPECIAL/COMBO,"10,97"
MINI BURGUER CORONEL MUSTARD,PARA COMPARTILHAR,08/10/2022,18,"33,00","594,00",PARA COMPARTILHAR,"5,47"
GUIOZA VEGETAIS AGRICOLA,PARA COMPARTILHAR,17/06/2022,1,"20,00","20,00",PARA COMPARTILHAR,"3,31"
TOAST COGUMELOS,ALL DAY,29/01/2022,4,"19,00","76,00",LANCHES,"2,71"
TAMAGO SANDO,ALL DAY,13/04/2021,1,"17,00","17,00",LANCHES,"4,96"
MINI VEG BURGUER REVERENDO SR GREEN,PARA COMPARTILHAR,13/10/2022,1,"30,00","30,00",PARA COMPARTILHAR,"5,58"
KATSU SANDO,ALL DAY,22/07/2022,7,"30,00","210,00",LANCHES,"5,5"
CREPE RED7,SOBREMESA,19/02/2023,1,"26,00","26,00",SOBREMESA,"7,94"
CHICKEN KATSU DONBURI,ALMOCO,08/10/2022,16,"34,00","544,00",DONBURI,"5,24"
KATSU SANDO,ALL DAY,17/05/2022,3,"30,00","90,00",LANCHES,"5,5"
TONKATSU KARE,ALMOCO,21/06/2022,2,"34,00","68,00",KARE,"4,44"
COMBO BENTO CHA,ALL DAY,26/05/2022,1,"32,00","32,00",ESPECIAL/COMBO,"6,67"
QUEIJO EXTRA,ALL DAY,06/02/2022,1,"2,00","2,00",ADICIONAIS,"1,17"
BURGUER DONBURI,ALMOCO,10/08/2022,2,"32,00","64,00",DONBURI,"8,84"
TOAST TERIYAKI,ALL DAY,10/03/2022,1,"19,00","19,00",LANCHES,"3,44"
GUIOZA SUINO PUERCO RICO,PARA COMPARTILHAR,25/06/2022,3,"20,00","60,00",PARA COMPARTILHAR,"4,11"
BATATA CHEDDAR E BACON,PARA COMPARTILHAR,06/03/2022,4,"32,00","128,00",PARA COMPARTILHAR,"6,91"
DUO ONIGUIRI BARRIGA,PARA COMPARTILHAR,21/03/2023,4,"16,00","64,00",PARA COMPARTILHAR,"3,25"
BAURU,ALL DAY,10/12/2022,1,"22,00","22,00",LANCHES,"6,98"
DANGO,SOBREMESA,14/10/2022,3,"9,00","27,00",SOBREMESA,"1,56"
MINI VEG BURGUER REVERENDO SR GREEN,PARA COMPARTILHAR,10/05/2022,2,"30,00","60,00",PARA COMPARTILHAR,"5,58"
KARAAGUE KARE,ALMOCO,06/08/2022,5,"32,00","160,00",KARE,"4,97"
